xmin,ymin,xmax,ymax,txt
332,50,454,78,My Wallet
823,63,879,77,Search :.
139,73,238,101,Oreum
356,146,504,174,Jerry Walker
770,118,1006,170,
1153,162,1229,179,Montly spent
770,176,876,200,Add more
1150,182,1272,208,S1200.00
768,196,946,220,friends to Oreum
360,218,666,244,1200 0145 4215 0878
768,218,956,244,to transfer money
1153,257,1245,273,Montly earnings
1150,275,1278,304,"s9,250.90"
363,303,447,319,Exp 08/23
604,294,674,324,VISA
113,333,221,353,Welcome backl
87,361,242,390,Jerry Walker
350,388,478,414,Send Money
810,389,917,426,Earnings
1143,403,1181,417,"+6,7990"
1245,401,1281,413,Week
386,444,440,468,VISA
559,447,635,465,S10.680
1093,451,1147,465,"4100.,00"
147,515,217,531,Dashboard
403,525,481,537,Enter the ancunt
370,560,484,588,s80o.00
145,581,225,595,Investments
352,622,405,643,History
833,625,863,637,Ccrio
903,625,931,637,Oct h1
969,625,999,637,Crt12
1039,623,1067,637,Oct13
1107,623,1137,637,Oct14
1175,625,1205,637,Cct15
1246,626,1272,634,OGto
147,637,215,653,My Wallets
409,659,504,686,Jessie Jay
588,672,672,692,s290.00
96,686,124,710,t1
147,693,227,709,Transactions
413,691,493,707,23 September
741,682,897,712,Weekly Activity
410,731,562,756,John Woodland
587,743,673,763,S340.00
767,749,829,763,"20 Oct,2022"
967,749,1027,763,18 Oct 2022
1169,749,1229,763,"15 Oct,2022"
413,763,491,777,21 September
764,764,858,790,S30.00
966,766,1060,790,S15.00
1166,764,1278,790,S309.00
410,802,560,826,Jung Taekwoon
586,812,674,836,S120.00
413,833,489,847,12 September
98,884,122,910,4
145,891,195,907,Logout
473,895,567,913,Send Money
767,913,821,929,Netflix
967,913,1025,931,Spotify
1169,913,1221,929,Twitch
