xmin,ymin,xmax,ymax,txt
111,43,201,63,Welcome!
555,47,607,61,Search 
921,47,963,61,Wallet
37,77,71,91,kibex
110,72,276,104,Dashboard
129,141,179,153,Balance
255,139,295,153,Wallets
357,141,439,155,Saved money
485,139,527,153,Savings
589,141,655,155,Arrearages
716,142,744,150,Loang
127,161,205,179,$14739.40
357,161,435,179,$17859.63
587,159,665,179,$16236.95
127,181,181,193,"8 April, 5PM"
357,181,409,193,"7 April, 2PM"
587,182,640,190,"8 April, 11AM"
145,225,179,237,43.12%
250,225,307,237,+$5028.25
373,225,405,237,7.34%
478,225,531,237,-$1028.18
603,225,641,237,25.06%
710,225,765,237,+$2294.32
879,225,963,241,Olivia Lewis
882,244,958,252,"Friday, 8 April 2022"
129,289,205,303,Transactions
360,290,408,298,Revenue
687,289,751,301,Last months
821,301,861,313,Balance
129,311,151,322,Visa
167,311,187,322,Day
202,311,228,322,Week
243,311,273,322,Month
277,311,294,322,All
655,323,689,337,$5101
821,317,915,337,"$23,643.76"
225,333,257,347,53.2%
226,348,294,366,Spent from the total balance
823,351,973,367,4839 9403 2378 4592
147,359,185,373,"$8,320"
225,375,249,387,75%
821,377,871,391,VALID THRU
225,388,294,406,Spent compared to last month
970,378,1020,402,VISA
821,393,849,405,12/24
144,420,210,428,Entertainment
242,420,298,428,Subscrptions
146,435,186,445,Transport
241,435,269,445,Other
144,452,206,461,Food products
881,449,937,463,Add card
129,510,241,527,Transaction history
437,511,463,525,April
529,513,585,527,Expenses
705,511,755,525,Last days
827,513,861,525,Goals
965,511,1015,525,Add goal
166,546,220,554,Eleanor Pena
239,545,263,557,Visa
285,545,333,557,7:30:32PM
355,545,393,557,$382.00
428,546,476,554,Completed
861,547,883,559,Trip
945,545,1003,559,$1530/$2500
170,575,216,587,Robert Fox
239,575,263,587,Visa
285,575,333,587,5:46:20 PM
355,575,393,587,$855.00
426,573,463,587,Pending
861,579,925,593,AirPods Max
951,579,1003,593,$485/$550
168,606,218,614,Devon Lane
239,606,263,614,Visa
285,606,333,614,10:30:39 AM
356,606,390,614,$570.00
428,606,454,614,Failed
861,615,883,627,Car
935,615,1003,627,"$4829/$23,400"
169,633,219,645,Floyd Mies
239,633,263,645,Visa
285,633,333,645,8:55:52 AM
357,633,389,645,$105.00
426,631,477,646,Completed
