xmin,ymin,xmax,ymax,txt
1133,29,1173,43,Lucas
72,34,166,60,Logoipsm
273,38,407,56,Search type of keywords
1133,49,1191,63,@lucas210
71,123,133,137,Overview
779,159,859,179,Statistic
71,177,109,193,Chart
411,173,459,187,+0.25%
659,173,705,187,+0.25%
781,213,811,227,$800
71,233,153,249,Transactions
286,228,386,260,"$40,291"
532,228,626,260,"$18,291"
286,266,369,284,Bitcoin - BTC
534,266,631,283,Ethereum - ETH
781,269,811,283,$600
71,291,113,305,Wallet
955,305,1009,321,"$25,240"
781,325,811,339,$400
69,345,125,361,Mail Box
411,379,459,393,+0.25%
658,381,705,395,-2.05%
781,381,811,395,$200
71,403,117,419,Setting
286,434,370,464,"$8,291"
532,436,616,466,"$3,291"
69,459,117,475,Logout
287,473,365,487,Litecoin - ITL
535,475,631,489,Cardano - ADA
840,475,865,489,Jan
905,475,929,489,Mar
969,475,995,489,May
1032,475,1055,489,Jul
1093,475,1117,489,Sep
1157,475,1183,489,Nov
258,544,372,568,Live Market
916,546,1046,570,Transactions
319,597,391,613,Ethereum
466,593,515,611,Change
963,597,1035,613,Ethereum
1145,597,1203,613,"$24,102"
317,621,389,635,ETH/USDT
469,621,521,635,+14.02%
599,621,673,635,"39,786 USD"
963,621,1023,635,Received
1126,619,1203,637,"Today, 19:30"
319,669,371,685,Bitcoin
467,669,515,683,Change
599,669,631,681,Price
963,669,1015,685,Bitcoin
1155,669,1203,685,"$4,157"
317,693,389,709,ETH / USDT
469,693,517,709,+4.02%
599,693,671,709,"21,786 USD"
1126,691,1203,709,"Today, 14:32"
317,743,377,757,Litecoin
466,739,515,756,Change
600,742,628,750,Price
963,741,1015,757,Bitcoin
1141,739,1203,757,"$64,784"
317,767,387,781,ITC/USDT
469,767,515,781,-4.02%
599,765,667,781,"9,786 USD"
1127,765,1203,781,"Today, 13:50"
319,815,385,831,Cardano
466,811,515,829,Change
599,813,631,827,Price
963,813,1021,827,Litecoin
1145,811,1203,829,"$14,265"
319,839,393,853,ADA/USDT
469,839,517,853,+0.02%
601,839,667,853,"4,786 USD"
1123,837,1203,853,"Today, 09:38"
599,594,627,607,Price
963,692,987,708,Buy
963,764,987,780,Buy
963,836,987,852,Buy
