xmin,ymin,xmax,ymax,txt
134,46,258,70,Your cards
617,51,685,67,Add new
804,44,912,70,Statistics
1263,51,1351,67,Last month
1015,183,1065,199,"$7,583"
158,226,380,252,4141 9512 5941 ****
512,228,734,252,5152 1712 1583 ****
158,270,246,282,OLEH HLUSHENKO
269,271,305,283,05/24
515,271,601,283,OLEH HLUSHENKO
623,271,659,283,09/22
134,350,222,374,Card info
489,353,545,373,Limits
137,393,227,407,Card number
349,389,441,433,4141 9512 5941 ****
549,395,625,409,Credit limit
804,386,1038,418,Spending categories
1289,391,1351,407,View all
137,419,193,433,Balance
419,417,469,433,"$7,583"
549,413,653,431,"$1,583/$2,000"
921,489,1013,505,Restaurants
1215,489,1273,503,Vehicles
851,499,879,515,43%
1145,499,1175,515,22%
919,507,1019,525,"$2,612/$5,731"
1215,507,1309,525,"$1,212/$5,731"
134,524,284,550,Transactions
625,529,685,547,View all
151,593,199,607,Search
405,593,475,607,Date from
579,593,629,607,Date to
806,606,974,634,My investment
1289,611,1351,627,View all
198,658,370,688,Netflix subscription
411,665,487,681,"10 Jun, 2021"
670,660,722,684,-$120
829,691,923,707,Stock portfolio
1123,691,1219,707,Stock portfolio
826,714,932,738,"$52,311,013"
1122,714,1230,738,"$17,537,841"
199,731,349,751,Starbucks coffee
411,735,483,751,"8 Jun, 2021"
681,731,723,751,-$15
855,751,949,767,"$1,752.39 (142%)"
1149,751,1239,767,"$1,104.21 (127%)"
963,795,991,809,Sell
1259,795,1285,809,Sell
198,800,358,826,ATB grocery store
411,805,483,819,"8 Jun, 2021"
650,798,724,822,"-$1,029"
198,868,314,894,Kyiv subway
411,873,493,891,"28 May, 2021"
689,871,723,889,-$5
829,875,923,891,Stock portfolio
1123,875,1219,891,Stock portfolio
826,896,930,920,"$8,912,526"
1122,896,1222,920,"$2,162,051"
859,935,935,949,-$515.21 (15%)
1149,935,1219,951,352.39 (7%)
963,979,991,993,Sell
1259,979,1285,993,Sell
1027,794,1053,811,Buy
1321,793,1347,811,Buy
1027,978,1051,995,Buy
1321,977,1347,995,Buy
