xmin,ymin,xmax,ymax,txt
70,38,146,64,Payfast
363,51,429,69,Search
1253,45,1379,65,Orlando Michael
78,126,178,150,Dashboard
329,131,405,147,Total profit
503,131,589,147,Total Income
685,131,785,147,Total Expenses
881,131,931,147,Friends
1063,141,1183,159,Current Balance
325,151,429,177,"+$3190,00"
500,152,606,178,"+$2090,00"
685,152,774,178,"-$880,00"
878,152,976,179,4300 People
81,185,161,205,My Cards
1060,164,1213,207,"$3190,00"
79,241,161,261,Statistics
334,242,414,268,Activity
859,255,929,273,This week
1061,273,1239,293,5282 3456 7890 1289
1311,273,1363,293,09/25
80,296,150,320,Activity
343,297,371,311,$4k
564,298,652,312,Wednesday 14 July
583,315,637,331,"$3500,10"
345,345,371,359,$3k
80,352,174,376,My Friends
1060,376,1232,400,Quick transaction
345,393,371,409,$2k
347,443,371,457,$lk
76,453,155,483,Settings
1075,471,1119,483,Add new
1151,479,1201,491,Michael Jr
1230,480,1276,488,Aryanto D
1311,477,1355,491,Devian L
375,513,407,527,Mon
473,512,497,526,Tue
563,513,595,527,Wed
659,513,685,527,Thu
750,513,777,527,Fri
847,513,871,527,Sat
937,513,965,527,Sun
334,582,520,610,Transaction history
861,591,929,607,This week
1059,579,1204,606,Average Usage
335,633,455,649,Last transaction
629,631,667,649,Time
907,633,967,649,Amount
62,674,206,754,Get a premium account to get more privilege
387,689,543,709,Mastercard payment
626,686,718,710,21 July 2021
899,689,969,707,+$310.00
1171,689,1257,705,Total expenses
1164,710,1264,742,$524.00
384,748,506,772,Monthly spotify
626,748,722,772,20 July 2021
910,749,969,769,-$20.00
1107,767,1149,781,Olshop
1187,767,1259,781,Game online
1297,767,1333,781,Other
77,791,193,811,Get premium
1117,803,1311,833,Keep getting the latest updates about your monthly expenses here
385,811,545,831,BTS Meal McDonald's
626,810,718,834,18 July 2021
910,811,969,831,-$63.00
