xmin,ymin,xmax,ymax,txt
80,34,164,52,STOCKIN
351,43,519,57,Search for stocks market__
922,41,1119,61,"Saturday; 20 october, 2021"
1275,39,1369,59,William Serif
73,161,129,177,Market
319,130,612,179,Stock Market
325,187,503,205,Trending market group
1109,168,1271,207,My portfolio
979,199,1057,219,View AlI
32,210,60,238,88
75,217,157,233,Dashboard
1173,241,1209,255,Gain
75,273,141,289,Portfolio
419,271,479,291,AAPL
793,271,847,291,TSLA
1169,259,1297,285,"+S10.657,00"
738,300,760,306,GLs
793,293,883,309,Tesla Motors
73,329,117,345,News
1171,331,1261,345,Investment
544,350,662,376,"$10.390,00"
928,350,1036,376,"$7.390,00"
1118,338,1148,366,d
1169,349,1283,375,"+51.274,05"
633,381,661,395,+20
1011,381,1035,395,+12
73,385,137,403,Settings
325,456,617,498,Most popular week
1103,456,1324,487,Recent activities
1144,522,1257,542,Crypto (Bitcoin)
1343,523,1397,539,+16000
353,557,387,571,adidas
1105,577,1179,591,Profit %12
1329,577,1397,591,10/11/2021
344,592,444,616,ADS Adidas
532,592,654,616,SHOP Shopify
722,592,838,616,DBX Dropbox
912,592,1030,616,ABNB Airbnb
342,628,426,658,$1200
532,626,616,658,$1620
722,626,796,658,$620
912,628,996,658,$1740
1145,641,1193,655,Netflix
1357,641,1397,655,2500
343,667,455,685,20% this week
533,669,643,685,55% this week
723,669,837,685,"5,5% this week"
913,667,1025,685,56% this week
1105,693,1183,709,"Profit  %1,5"
1329,693,1397,709,10/11/2021
320,742,505,780,Transaction
1101,757,1230,788,Summary
49,779,200,806,Trading learning
51,803,89,823,tips
414,810,590,838,Buy apple stock
671,822,846,846,Interest rate 2%
947,819,1056,848,"S20.56,76"
1105,821,1149,835,OPEN
1211,821,1251,835,HIGH
1317,819,1395,833,52WK HIGH
51,831,211,847,you can do basic trading
53,847,91,861,easily
415,841,557,857,stock investment
1101,847,1163,867,"81,000"
1209,847,1269,867,"12,000"
1314,844,1388,868,"1,000.10"
89,891,179,905,Learn more
414,898,580,926,Buy tesla stock
1105,901,1199,915,PREV CLOSE
1211,901,1247,915,LoW
1317,899,1393,913,52WK LOW
671,910,860,934,"Interest rate 1,5%"
947,907,1052,936,"S10.36,05"
415,929,557,945,stock investment
1103,927,1165,947,"72,000"
1209,927,1263,947,"8,000"
1315,927,1375,947,"1,000.1"
419,298,463,313,Apple
