xmin,ymin,xmax,ymax,txt
201,67,496,181,ReoPay
665,85,952,158,Overview
1127,85,1405,162,Analytics
1576,85,1954,158,Transactions
2127,86,2311,153,Cards
2478,84,2740,168,Settings
5051,81,5368,154,David Zein
208,369,1788,537,"Good Morning, David Zeinl"
205,542,1235,671,"Wednesday, August 17,2022"
306,943,713,1027,Overview 1
805,969,993,1036,-17 Aug
3733,938,4397,1031,Connect Account
3887,1145,4074,1218,Paypal
407,1218,438,1253,8
1033,1203,1220,1259,+14.56%
2115,1203,2288,1259,-14.56%
2544,1197,2630,1270,E;
3200,1203,3383,1259,+14.56%
4979,1190,5236,1246,Connected
3888,1237,4637,1305,Transfer & Receive Money Globally
368,1380,764,1453,Total Balance
1446,1385,1674,1452,Credits
2531,1380,2735,1453,Debits
3889,1495,4102,1551,Binance
360,1489,742,1610,"S50,000"
1437,1489,1823,1610,"S20,000"
2520,1488,2889,1616,"$15,000"
3733,1518,3866,1621,48
4979,1539,5236,1595,Connected
3887,1588,4528,1662,Receive Your Cryptocurrency
315,2011,678,2104,Statistics
4767,2059,5008,2137,Expense
5131,2061,5289,2124,Profit
317,2253,510,2315,"400,000"
314,2420,509,2476,"300,000"
313,2611,510,2673,"200,000"
323,2808,509,2864,"150,000"
320,2997,512,3064,"100,000"
344,3196,509,3252,"50,000"
764,3493,894,3556,Aug 1
1326,3493,1465,3556,Aug 3
1937,3493,2080,3556,Aug 4
2551,3493,2695,3556,Aug 8
3170,3489,3309,3556,Aug 9
3776,3489,3933,3556,Aug 11
4387,3489,4548,3556,Aug 15
5005,3491,5171,3556,Aug 16
715,961,810,1039,Aug -
