xmin,ymin,xmax,ymax,txt
783,17,805,31,YOY
829,17,901,31,JAN FEB   MAR
909,17,1119,31,APR MAY   JUN jul  Aug   SEP   OcT   DEC
1129,17,1155,31,2015
1169,17,1195,31,2014
70,30,140,56,TRADES
189,35,213,47,FEES
283,33,349,47,FEE VARIANCE
375,33,445,47,VARIANCE AMT
491,33,535,47,VOLUME
583,35,627,47,MANUAL
188,50,258,74,"5834,9k"
280,50,334,74,37.2%
372,50,444,76,5596.3k
490,50,556,74,942.6m
582,50,624,74,6.8%
715,65,781,79,LEGAL ENIITY
813,65,867,79,CUSTOMER
899,65,939,79,BROKER
973,65,1013,79,TRADER
1047,65,1101,79,EXCHANGE
1151,61,1193,75,SEARCH
461,97,503,111,FEe = S0
703,97,845,117,FEE VARIANCE RATE
1153,103,1193,117,REGION
56,110,140,136,INVOICES
365,115,391,129,3.300
461,115,511,129,FEE # GMI
1165,121,1193,135,APAC
365,131,391,145,"2,690"
461,131,509,145,REJECTED
1163,139,1193,153,EMEA
199,161,235,179,FEES
523,161,587,181,VOLUME
1165,159,1193,173,NAM
163,187,197,199,83| 9
485,187,523,199,9442GM
11,199,125,213,LEGAL ENTUY * SELECTICN
199,199,273,213,SvAR /$ TOAL
531,199,575,211,MANvAL
587,199,617,211,TOTAL
1133,207,1195,221,SETTLEMENT
19,215,125,229,Diminskon * SElecIICN
19,227,125,243,divenSiow X SELECTICN
155,225,195,239,SORT B4
1157,225,1193,239,EG AUNS
771,253,795,265,MaA
835,253,857,265,May
931,253,953,265,AuG
1025,253,1079,267,Kov   DEC
1173,263,1195,277,SFE
192,278,252,302,REGION
347,287,373,301,"4,280"
133,309,159,321,NAM
171,309,197,323,42M
345,305,373,319,"3,380"
705,297,895,317,VOLUME TREND BY REGION
1139,313,1195,327,EXECUTION
133,323,159,337,APAC
171,323,197,337,2 IM
345,321,373,335,"2,680"
493,323,521,337,33 AK
1137,331,1193,345,ELECTRONIC
131,339,159,353,EMEA
171,339,197,351,0 9M
1163,349,1195,363,VoIcE
199,377,289,397,SETTLEMENT
345,381,373,395,"4,280"
137,401,197,415,GPS 730 84|
345,399,373,413,3 380
485,401,521,415,"330,818"
1141,403,1193,417,CONIRACT
121,419,197,433,EGAINS 623 214
485,419,521,433,223 ZM8
1151,421,1193,435,futuRES
139,437,197,451,SFE 490.91|
487,437,521,451,"190.91,8"
803,443,825,457,APR
835,445,857,457,May
931,445,953,457,AUG
1025,443,1079,457,Kov   DEC
1151,439,1193,453,OPTIONS
115,455,197,469,"MANUAL 140,2M4"
489,455,521,469,97 5mM
705,465,901,485,FEE FLAG TREND BY REGION
199,485,285,505,TRADE TYPE
345,489,373,503,"4,280"
1137,491,1195,507,TRADE TYPE
127,509,197,525,( SET )   55 6M
345,507,373,521,3 380
491,511,521,523,"55 G1,"
1147,511,1193,525,SFECIFIED
87,527,197,541,( UNSPECIFIED |   50 IM
345,523,373,537,"2,.696"
491,527,523,541,50 IMA
1133,529,1193,543,UNSFECIFIED
199,563,319,583,EXECUTION TYPE
345,567,373,581,"4,296"
101,587,197,601,"ELECTRONIC 730,8|"
345,585,373,599,3 380
485,587,521,601,"33081,8"
1139,583,1195,595,FEE STATUS
127,605,197,619,"VOICE 623 2M,"
345,603,373,617,2.696
485,605,521,619,223 ZM8
1157,601,1193,615,MATCH
771,613,795,625,MAA
835,613,857,625,MAY
867,613,889,625,JUN
931,613,953,625,AUG
1025,613,1049,625,Nov
1057,613,1079,625,DEC
1145,619,1195,633,VARIANCE
347,655,373,669,423
199,659,281,679,EXCHANGE
705,659,819,679,DIMENSION MiX
345,673,373,687,3 380
681,683,735,697,unstruMENT
783,683,819,697,REGION
871,683,917,697,FEE VAR%
969,683,1005,697,SasTe
1055,683,1105,697,EXECUTION
31,693,197,707,"LONDON INTL FIN FUT EXCH   55,614"
345,689,373,703,"""2.696"
491,693,521,707,"55,6,8"
103,711,197,725,ICE EUROPE   50 IM
491,711,521,725,50 IMX
669,719,707,733,FUTURES
57,729,159,743,NY MERCANTLE EXCH
167,729,197,741,53 4M
491,729,521,741,53 4M
27,745,197,759,CHICAGO MERCANTILE EXCH   60 0M
489,747,521,759,60 OM
79,763,197,777,MONTREAL EXCH 5 IM
491,763,521,777,54 UMA
31,781,197,793,"LONDON INTL FIN FUI EXCH   55 6M,"
491,781,521,795,"55 GM,"
103,797,197,811,ICE EUROPE   50 IM
491,797,521,811,50 IM
57,815,197,829,NY MERCANTILE EXCH   53 AM
491,815,521,829,53 4M8
669,825,707,837,opiiois
27,831,197,845,CHICAGO MERCANTILE EXCH   60 0M
491,833,521,845,60omm
79,849,159,863,MONTREAL EXCH
167,851,197,863,5MM
491,849,521,863,54 M
1148,846,1196,876,citi
344,416,372,427,263
