xmin,ymin,xmax,ymax,txt
576,65,754,119,Exchange
1680,66,1861,110,00 5
2318,74,2345,102,0
2561,70,2728,108,Emre KAYA
170,116,359,166,Moneyboil
628,257,697,285,From
1270,257,1307,285,To
1955,259,2205,309,Live exchange
202,343,369,380,Dashboard
754,350,861,389,Dollar
1323,349,1348,384,€
1396,350,1510,389,Pound
1976,360,2074,393,Market
2099,360,2224,391,Favorites
2068,472,2094,502,6
2135,472,2291,505,Turkish Lira
2417,474,2474,500,%4.7
2621,471,2730,508,"0,055 $"
209,482,364,531,Exchange
661,509,830,553,"$ 1250,00"
1300,509,1472,553,"E 1056,68"
2071,602,2091,629,€
2135,599,2199,630,Euro
2419,601,2468,628,%1.1
2637,598,2730,635,"0,99 $"
132,628,160,666,0
192,633,321,666,Account
627,638,919,676,"Balance : $ 24.673,00"
628,713,695,742,Rate
713,711,950,744,1 USD = 0.85 GBP
1439,707,1636,751,5 Exchange
2071,730,2091,756,8
2135,729,2224,759,Pound
2417,729,2477,755,%2.3
2639,725,2730,763,"0,85 $"
191,775,286,812,Cards
627,781,814,821,"Fee : 0,0 USD"
2070,854,2094,887,8
2134,855,2243,892,Hryvnia
2423,856,2474,882,%10
2624,853,2730,892,"0,027 $"
187,913,322,962,Settings
578,962,891,1013,Exchange Statistic
2135,984,2264,1017,Gold/Ons
2412,984,2479,1012,%10.1
2628,980,2730,1018,"1,738 $"
578,1063,640,1096,Daily
684,1064,751,1093,Week
797,1063,874,1095,Month
2135,1111,2231,1144,Bitcoin
2417,1113,2472,1140,%1.2
2610,1110,2728,1147,"21,270 $"
579,1176,641,1202,1000
579,1241,630,1267,600
1364,1234,1446,1263,$1.250
2134,1237,2212,1273,Tesla
2419,1241,2472,1267,%1.7
2604,1237,2728,1275,"862,58 $"
578,1302,631,1333,400
579,1368,630,1394,300
2134,1365,2276,1402,Silver/Ons
2417,1368,2477,1394,%9.2
2628,1365,2730,1404,"19,07 $"
579,1433,630,1459,200
579,1496,625,1522,150
2135,1496,2316,1529,Platinum/Ons
2417,1496,2474,1524,%1.6
2605,1492,2730,1534,"870,98 $"
579,1560,625,1587,100
579,1625,614,1652,50
2134,1622,2301,1662,Copper/Ons
2417,1623,2474,1652,%1.2
2621,1622,2730,1659,"3,600 $"
254,1662,318,1700,Out
644,1697,688,1723,Jan
749,1697,795,1723,Feb
856,1697,905,1723,Mar
963,1697,1010,1725,Apr
1067,1695,1121,1727,May
1178,1697,1225,1723,Jun
1285,1697,1325,1723,Jul
1382,1696,1434,1729,Aug
1492,1696,1544,1727,Sep
1601,1697,1647,1723,Oct
1708,1697,1757,1723,Nov
1818,1697,1866,1723,Dec
193,1659,251,1706,Log
