xmin,ymin,xmax,ymax,txt
33,9,109,27,Logo TEXT
793,13,915,25,"22/08/2017,15:20:11 AM"
119,76,245,91,DEBT-TO-ASSETS RATIO
347,76,479,91,DEBT-TO-CAPITAL RATIO
579,76,705,91,DEBT-TO-EQUITY RATIO
811,76,939,91,INTEREST COVER RATIO
48,115,97,135,-0.30%
119,91,245,131,-1.245
275,115,323,135,2.76%
347,91,455,129,1.245
509,117,555,135,1.70%
579,91,687,129,1.245
739,115,785,135,20.6%
811,91,917,130,1.245
111,187,193,201,CURRENT RATIO
323,187,443,201,INVENTORY TURNOVER
551,187,679,201,RECEIVABLES TURNOVER
787,187,905,203,PROFITABILITY RATIOS
743,231,827,245,Gross Profit Margin
908,222,952,246,80%
121,225,225,267,1.245
743,261,781,273,1.234M
586,262,644,288,1.246
586,288,642,296,RECEAVABLES
117,301,185,315,QUICK RATIO
601,299,631,313,70%
743,301,845,315,Operating Profit Margin
909,295,951,315,65%
291,323,317,335,2013
331,323,357,335,2014
371,323,397,335,2015
409,323,435,335,2016
449,323,475,335,2017
743,331,781,343,1.234M
119,339,225,379,1.245
743,369,819,383,Net Profit Margin
909,363,951,383,78%
327,379,439,393,PAYABLES TURNOVER
569,379,663,393,ASSET TURNOVER
743,400,778,409,1.234M
119,413,183,427,CASH RATIO
743,437,845,451,Return On Assets (ROA)
909,431,951,451,53%
81,449,225,489,1.245 M
354,454,412,478,1.246
743,467,781,479,1.234M
356,478,406,486,INVENTORY
367,489,397,505,70%
743,505,841,519,Return On Equity (ROE)
908,498,950,522,71%
77,511,147,541,IN Rp. 123.976
157,511,227,541,OUT Rp. 324.763
523,513,549,527,2013
563,513,589,527,2014
603,513,629,527,2015
641,513,667,527,2016
681,513,707,527,2017
744,536,778,544,1.234M
