xmin,ymin,xmax,ymax,txt
287,59,334,104,0
458,67,637,98,Market on-line
942,66,1067,103,Binance
1182,65,1290,104,Kraken
1405,64,1527,104,Bitfinex
1642,64,1774,104,Poloniex
1889,68,1962,106,Algo
2076,66,2144,102,FTX
2509,69,2566,98,EUR
2748,70,2839,102,Frenzo
329,265,436,301,Balance
607,261,718,305,Pending
1028,250,1096,286,GCN
1265,250,1418,288,"E31,164.74"
1507,250,1644,288,"€1,054.13"
1767,250,1909,288,"13,002.88"
2358,265,2451,304,Crypto
2548,269,2635,296,Assets
2730,267,2822,296,Shares
1027,292,1173,322,Social Chain
1264,292,1330,322,Price
1505,290,1647,326,24h change
1768,292,1906,322,24h volume
235,364,466,416,"€21,450.81"
685,372,762,408,STLR
2406,357,2518,401,Casper
2763,373,2863,404,e381.58
924,422,958,438,V Y
1082,405,1162,434,Month
1245,405,1277,434,12
1357,399,1405,442,Qo
2012,407,2198,437,€17.72 / €14.98
2407,399,2484,435,CSPR
237,442,342,471,18:21:58
400,442,501,471,Refresh
2737,437,2877,464,€2.28 2.54%
2483,457,2579,500,"""l""6"""""
2742,469,2877,497,€4.90 3.71%
916,488,1187,515,Sep 112022 - 18:21:58 [UTC+3]
1243,488,1332,513,H89889.3
1388,488,1484,513,L471728.9
1540,488,1625,513,C19945.5
1685,488,1763,513,~0.065%
2028,488,2200,515,"EMA [20] 19,921.58"
2147,563,2199,581,819.101
236,563,352,601,€162.39
457,565,546,601,0.029
666,563,760,601,0.76%
2404,562,2633,610,Trinity Network
2755,581,2864,617,€248.79
236,605,384,638,Daily volume
458,605,598,635,BTC volume
667,608,787,635,% amount
2012,619,2083,646,€17.72
2127,608,2198,632,€17.937
2409,609,2468,645,TNC
2742,649,2877,676,€4.10 4.67%
2012,663,2085,690,€16.77
2127,663,2200,688,816.773
2520,664,2542,682,I
2455,664,2657,709,"Illiu"" 47""l4/l,"
2742,681,2877,708,€0.67 0.51%
349,708,461,746,Deposit
629,706,765,745,Withdraw
2123,718,2200,743,€15.428
2010,743,2085,768,€14.98
2128,777,2197,797,€14.199
2409,776,2559,819,The Graph
2799,792,2861,823,E0.0
2142,827,2199,843,"613,507"
2408,822,2465,853,GRT
981,865,1031,890,Jul 2
1153,865,1210,890,Jul 16
1331,865,1392,890,Jul 30
1550,866,1575,887,14
1736,865,1765,890,28
1885,865,1945,890,Sep 11
2825,859,2877,886,€0.0
2525,889,2566,916,"L"""
2825,891,2879,918,€0.0
315,905,407,934,Search
916,916,1067,941,"Positive 8,910.79"
1109,916,1268,946,"Negative 5,671.05"
1793,916,1945,941,"Volume 23,512.17"
1978,928,2005,957,1
2019,914,2069,968,5
237,1008,296,1035,Pairs
513,1008,575,1035,Price
703,1007,792,1039,Change
1984,997,2147,1024,Advanced view
2407,987,2544,1025,Shiba Inu
2756,1004,2863,1035,€395.58
2408,1031,2477,1063,SHIB
2742,1068,2877,1093,05.31 4.48%
288,1077,345,1107,DCR
503,1074,599,1112,S45.69
716,1077,805,1107,17.88%
288,1142,361,1173,ROSE
520,1139,596,1171,S8.33
716,1142,794,1171,1.02%
914,1149,1024,1173,"9,120,008.11"
1803,1149,1917,1173,"5,596,781.58"
1983,1150,2138,1182,Gap / function
285,1206,342,1236,LSK
519,1203,597,1239,S3.62
716,1206,803,1236,11.73%
2380,1195,2523,1224,Order book
2640,1192,2821,1229,Recent trades
288,1268,368,1298,MATIC
504,1268,596,1300,S92.68
716,1268,796,1298,7.84%
2504,1298,2572,1331,Total
2666,1298,2737,1328,0.001
939,1314,1063,1344,All assets
1103,1310,1205,1349,Gainers
1252,1314,1341,1344,Losers
1390,1312,1500,1344,Tradable
285,1333,345,1362,XLM
504,1331,596,1364,S74.96
716,1333,803,1362,12.16%
285,1397,354,1429,LINK
519,1394,594,1432,S9.74
716,1397,798,1427,3.99%
916,1409,985,1436,Asset
1354,1407,1467,1439,Last price
1583,1407,1749,1438,Volume [USDT]
1832,1407,1984,1439,Change [24h]
2093,1409,2168,1436,Action
2304,1397,2366,1424,Price
2523,1397,2612,1424,Amount
2799,1397,2859,1424,Total
237,1472,335,1514,Margin
731,1472,813,1508,30.83
997,1483,1070,1514,DOTY
1110,1483,1222,1512,Polkadot
1354,1483,1434,1512,€7.175
1582,1483,1703,1514,"38,237.37"
1860,1483,1929,1512,7.11%
2095,1480,2170,1512,Trade
2304,1466,2396,1496,€24.62
2560,1466,2631,1496,"1,448"
2737,1464,2879,1496,"e35,649.76"
2304,1529,2396,1560,e38.75
2569,1529,2631,1560,"1,915"
2735,1529,2879,1560,"€74,206.25"
236,1565,404,1604,Ie
999,1575,1072,1604,NEAR
1110,1572,1284,1604,Near Protocol
