xmin,ymin,xmax,ymax,txt
87,13,141,29,BTCUSD
257,9,277,33,@o
304,8,434,34,d Indicators   88
483,15,519,29,Alert
537,15,605,31,44 Replay
1595,9,1657,25,Unnamed
1697,11,1719,31,Q
1857,15,1905,29,Publish
1614,26,1636,32,Dave
63,53,117,69,Bitcoin
131,51,315,69,U.S. Dollar . 1D . BINANCE
361,55,733,71,028097.50 628129.86 L26670.32 (27303.12 -800.78 (-2.857)
1541,65,1583,79,30.003
1621,61,1687,77,Watchlist
69,81,163,97,27303.12 | O.0d
177,81,233,97,27303.12
1541,101,1583,117,25.008
1621,99,1671,115,Symbol
1713,99,1743,115,Last
1825,99,1861,117,"Chg"""
63,109,119,125,Vol . BTC
141,109,175,125,506K
63,133,177,149,"ETHUSD, COINBASE"
187,135,225,149,5.9470
1542,140,1578,148,Dolooe
1645,133,1743,149,UKX e   7471.78
1761,135,1801,149,66.34
1821,135,1859,149,0.9090
1483,149,1529,165,BTCUSD
1541,151,1589,163,+18.713
12,164,40,190,D
1541,163,1593,177,06.49.19
1685,163,1745,181,15127.68
1755,165,1799,179,170.45
1821,165,1861,179,1.1490
1559,177,1583,191,OOR
1645,195,1671,209,SX5
1689,193,1741,209,4164.61
1761,193,1801,209,34.00
1821,195,1859,209,0.8290
17,197,35,225,T
1541,213,1583,229,10.003
1643,221,1801,241,BTCU 27115.0( -889.00
1815,225,1861,239,-3.177
12,224,40,266,R
1483,245,1529,259,ETHUSD
1541,245,1583,259,+5.948
1645,253,1799,269,XRPU  0.45607 0.00775
1821,253,1859,269,1.7356
12,266,42,300,2
1541,287,1577,303,O.Cor
1645,283,1743,301,ETHU 1714.90
1757,285,1801,299,-60.80
1815,283,1861,299,-3.425
1643,311,1681,329,EOSU
1697,313,1741,329,1.0781
1755,313,1801,329,0.0626
1813,313,1859,329,-5.495
1555,325,1583,339,'O03
1643,341,1683,359,LTCU'
1705,343,1743,359,88.08
1763,343,1801,359,-5.33
1813,343,1861,359,-5.715
1549,363,1589,377,10.003
1645,373,1799,389,GBPU   1.22749 0.00461
1821,375,1859,389,0.3890
1543,399,1589,415,-15.003
1645,401,1743,421,GBPE   1.1378
1755,403,1801,419,0.0018
1821,405,1859,419,0.1590
1543,437,1589,451,~20.003
1697,433,1743,449,46.320
1761,435,1799,449,0.605
1821,435,1859,449,1.3290
1882,430,1912,460,A
1697,463,1743,479,137.00
1769,465,1801,479,3.10
1821,463,1859,479,2.3256
1543,473,1589,489,-25.003
1543,511,1589,525,-30.003
1655,511,1709,527,BTCUSD
1543,549,1589,563,-35.003
1621,545,1813,563,Bitcoin / U.S. Dollar [ * BINANCE
1621,567,1661,583,Crypto
63,593,211,609,Stoch RSI 3 3 14 14 close
221,593,295,607,34.99 58.05
1543,601,1581,615,100.00
1620,600,1778,632,27303.12 usD
1541,641,1575,655,80.00
1623,635,1745,655,-800.78 (-2.859)
1631,657,1705,671,RAARKET OPEN
1541,681,1575,695,60.00
1653,687,1833,703,hour ago < SHIB Army Excited by
492,628,658,777,TH
1643,705,1841,721,Shibarium Burning 703 of Base Fee;-
1227,675,1335,791,LL
1543,721,1575,737,40.00
1707,745,1777,759,(L Add note
1541,761,1575,777,20.00
1621,789,1679,805,Key stats
1621,819,1667,833,VOLUME
1817,817,1861,833,1.506k
217,837,239,851,Sep
397,837,419,851,Oct
581,837,605,851,Nov
761,837,785,851,Dec
945,837,975,851,2023
1135,833,1197,851,Feb
1301,837,1325,851,Mar
1817,841,1861,857,2.573k
1621,843,1743,857,AVERAGE VOLUME (10)
161,871,183,885,3m
193,871,215,885,6M1
225,869,345,887,YTD   IY  5y   All
342,862,395,891,9
1363,869,1475,887,18:10.41 (UTC+1)
1501,869,1551,889,%   log
1561,871,1593,885,auto
1619,867,1691,881,RARKET CAP
1809,865,1859,881,528.68B
1621,891,1707,905,FD MARKET CAP
1803,889,1861,905,574.361B
69,912,167,930,Stock Screener
209,911,281,927,Pine Editor
305,908,408,933,Strategy Tester
434,910,523,929,Trading Panel
1773,96,1799,118,Chg
