xmin,ymin,xmax,ymax,txt
31,17,65,35,XBZ
159,19,213,33,Overview
239,21,277,33,Assets
304,18,339,35,Swap
368,17,433,36,Workspace
825,15,875,35,Services
353,91,423,111,32364 BTc
551,91,621,111,14576 BTc
749,93,817,111,78143 BTC 
943,91,1013,111,89641 BTc
115,105,179,119,Voice search
354,118,398,126,+39.145%
553,117,601,129,+84.775%
749,117,795,129,+77.197%
945,117,991,129,+47.157%
79,135,217,179,Where would you like to go?
315,201,431,221,Finance Graph
751,203,797,217,Last Year
897,199,982,224,Upcoming
952,234,982,242,Vuesaz
952,246,982,254,"$14,367.13"
313,249,349,263,$1000
81,287,179,301,Last Month Savings
313,287,343,299,$500
949,289,999,301,Xemi Coin
950,302,988,310,"$22,787.26"
83,323,147,339,Android apk
313,321,343,335,$100
951,345,989,357,Android
313,355,335,369,$50
950,358,984,366,"$19,227.13"
83,395,199,413,Saving For Macbook
952,402,982,410,Nexom
84,414,136,422,Saving month
350,413,370,425,Jan
392,413,415,425,Feb
432,413,455,425,Mar
473,413,495,425,Apr
517,413,539,425,May
557,413,575,425,Jun
597,413,617,425,Jul
640,413,660,425,Aug
680,413,700,425,Sep
723,413,746,425,Oct
761,413,784,425,Nov
807,413,829,425,Dec
950,414,982,422,"$66,136.14"
63,451,141,465,Create new note
24,492,151,518,Transfer Money
308,491,458,518,Transaction history
757,499,795,513,Sort By
41,541,171,555,3454 1547   6548   5874
310,538,360,546,Transaction
455,537,495,549,Method
559,537,591,549,Status
659,537,715,549,PH Number
784,540,828,548,Amount
343,563,401,575,Jenny Wlilson
343,575,378,585,11:40 am
460,568,482,576,Card
560,570,592,578,Ongoing
659,567,731,581,(480) 555-0103
789,567,831,579,$854.08
915,591,1015,638,Membership Program
351,615,423,627,Leslie Alexander
461,619,485,631,Card
554,619,581,631,Done
653,619,723,631,(316) 555-0116
775,619,815,633,$105.55
352,628,378,636,01:12 am
145,635,197,649,"24,259.36"
345,667,405,679,Guy Hawkins
459,671,483,683,Card
560,674,592,682,Pending
659,671,729,683,(219) 555-0114
789,671,829,683,$589.99
925,667,1005,681,Get Pro Version
346,680,372,688,12:10 pm
113,682,177,697,Send Money
