xmin,ymin,xmax,ymax,txt
257,35,327,49,6080 COPIS
367,35,439,49,6080 COPIS
479,35,551,49,6080 COPIS
591,35,661,49,6080 COPIS
703,35,773,49,6080 COPIS
815,35,885,49,6080 COPIS
927,35,997,49,6080 COPIS
1039,33,1109,49,6080 COPIS
20,36,160,64,Real Rates
205,128,404,160,Recently Searched
54,208,116,232,Home
233,203,319,223,1 USDIEUR
359,205,475,225,7 1.2268 EURO
557,203,643,223,1 EURIUSD
675,205,783,225,7 1.2268 USD
857,203,959,223,1 USDINAIRA
989,205,1109,225,7 1.2268 NAIRA
227,243,333,261,+0.567(+1.5%)
357,237,473,255,6 2.2268 EURO
555,241,651,261,-2.567(-1.5%)
673,235,781,255,6 2.2268 USD
857,241,963,261,+0.567(+1.5%)
987,235,1107,255,6 2.2268 NAIRA
50,279,149,303,Converter
50,346,106,370,Tools
50,414,153,438,Resources
204,407,336,439,Today's rate
209,467,277,487,Inverse
399,467,485,487,Bank rate
558,464,656,488,Street rate
696,464,816,490,Change(24h)
866,464,968,488,Chart(24h)
1081,469,1109,485,Edit
16,482,134,508,10s  Settings
270,534,368,558,1US Dollar
259,613,305,631,Cedis
433,613,467,631,400
587,615,619,631,650
725,615,771,631,+2.5%
1067,613,1129,631,9.45AM
259,689,309,709,British
433,699,467,717,400
585,699,619,717,650
729,701,771,717,-1.5%
1067,697,1129,717,9:45AM
261,711,311,727,Pound
259,799,301,817,Naira
433,799,467,817,400
587,801,619,817,650
725,801,771,817,+2.5%
1067,799,1129,817,9.45AM
261,881,297,899,Euro
433,879,467,897,400
585,879,619,897,650
723,881,771,897,+3.5%
1067,879,1129,897,9.45AM
285,980,389,1001,Add Currency
938,978,1132,1002,"Last updated- Nov 11,2022"
