xmin,ymin,xmax,ymax,txt
31,21,103,41,Bitmax
695,23,815,37,Welcome back; Taymar
945,21,971,35,USD
165,81,251,95,Portfolio value
177,115,221,127,Balance
353,113,393,127,+10.3%
439,115,487,127,Indicator
556,118,584,126,Assets
727,115,819,129,Quick On-Ramp
891,117,913,129,Buy
931,117,955,129,Sell
49,125,123,141,Dashboard
177,137,255,149,Total value (BTC)
557,133,581,147,BTC
595,133,619,147,50%
174,150,340,176,"0.7842342 $10,789,13"
557,155,583,169,ETH
593,153,619,167,25%
727,157,771,171,Amount
919,157,967,171,Currency
47,165,91,179,Market
557,175,583,189,BNB
595,175,619,189,14%
733,185,793,201,"4,500.00"
915,185,943,199,USD
557,197,581,211,SOL
595,197,619,211,11%
47,203,99,217,Portfolio
47,241,85,257,News
727,239,769,255,You get
931,241,967,255,Crypto
165,251,229,267,Top Crypto
621,249,678,263,View market
733,267,803,283,0.3845222
917,269,943,283,BTC
49,279,101,293,Account
199,285,227,303,BTC
291,289,329,301,Bitcoin
373,287,401,303,ETH
449,289,501,301,Ethereum
545,287,575,303,BNB
607,289,675,303,Binance coin
727,297,827,311,"1BTC = $16,746.59"
46,315,99,333,Settings
201,309,287,327,"$16,705.03"
373,309,451,329,"$1,530.45"
545,309,605,325,$265.02
803,356,889,372,Proceed to Buy
163,421,249,437,Quick Analysis
727,431,803,447,Transactions
930,432,964,440,View all
167,455,239,469,Ethereum ETH
751,457,773,469,Buy
897,457,967,471,0.10923 BTC
751,469,839,481,"02 Dec 2022, 07:32"
927,471,967,483,$320.67
635,479,677,493,"2,350.08"
751,495,775,507,Buy
921,495,967,507,220 SOL
751,507,839,521,"03 Dec 2022, 15:02"
927,507,967,521,"$320,67"
637,525,679,539,"2,287.01"
751,533,775,545,Sell
931,533,967,545,2 ETH
751,545,839,557,"04 Dec 2022, 07:32"
921,545,967,559,$2908.02
635,569,677,583,"2,225,17"
751,571,775,583,Sell
915,571,967,583,1.45 BNB
275,587,346,596,Time: 2022-06-18
751,583,839,595,"04 Dec 2022, 14:50"
927,583,967,597,"$528,21"
275,596,371,610,"Price; 2,190.85 (+14%)"
275,610,339,621,"High: 2,230.92"
751,607,775,620,Buy
917,607,965,620,1.50 SOL
275,620,336,631,"Low:  2,165.05"
635,615,677,629,"2,162.23"
751,619,839,633,"05 Dec 2022, 07:32"
931,621,967,635,$59.09
751,645,775,659,Buy
917,645,965,659,1.50 SOL
635,661,677,673,2100.78
751,657,839,671,"05 Dec 2022, 22:10"
931,659,967,671,$59.09
47,668,101,685,Log Out
162,674,204,682,2022-06-17
374,674,418,682,2022-06-26
588,674,630,682,2022-07-06

