xmin,ymin,xmax,ymax,txt
12,12,38,36,19
612,16,696,24,Grace.mann@yahoo.com
737,15,771,29,English
50,42,160,66,Dashboard
584,52,640,60,Apply New Ta
703,51,755,63,Appy Hubx
63,87,119,101,AUD / USD
132,90,154,98,4.36%
249,89,305,101,AUD / EUR
318,90,342,98,-2.16%
433,89,487,101,AUD / JPY
500,90,524,98,0.68%
619,89,675,101,USD / GBP
688,90,710,96,1.58%
176,110,218,116,High 065724
360,110,402,116,High 0.59982
546,110,588,118,High 70.796
732,110,774,118,High 0.82866
61,111,133,129,$0.65362
176,122,218,128,low 0.65059
249,109,317,129,€0.59961
360,120,402,128,low 0.59761
435,111,495,129,¥70.332
546,120,588,128,low 69.937
617,111,689,129,£0.82172
732,120,772,128,low 0.81821 
63,163,119,175,Total Prolit
295,163,359,175,Total Volume
557,163,609,175,To Do List
62,180,128,206,"32,124"
292,180,350,206,"28,63"
562,188,602,196,Agreements
61,214,140,220,8% Up from yesterday
296,214,372,220,-18% Up from yesterday
569,212,664,220,IB_Agreement_1586841603
564,248,604,256,Agreements
65,253,121,265,Orders List
416,255,436,265,Open
476,255,508,265,Pending
564,272,674,280,HUBx_Agreement_1582154654
63,277,89,289,TA ID
138,280,170,288,Symbol
218,278,250,286,Volume
297,278,346,286,Open Price
392,278,436,286,Last Price
484,278,508,286,Profit
564,306,626,314,Upload Verified file
64,312,90,318,513078
138,310,170,318,AUDUSD
218,312,236,318,3.60
298,312,326,318,0.65114
392,312,422,318,0.65114
484,312,508,318,590.31
564,330,656,338,Address Proof Not Uploaded
63,343,93,355,128619
137,343,173,355,AUDUSD
218,343,236,355,9.80
297,343,329,355,0.65114
392,343,422,355,0.65114
483,343,513,355,-805.42
562,366,630,374,Margin Call Account
64,378,90,386,607829
137,377,173,389,AUDEUR
218,378,236,386,5.90
298,378,326,386,0.65114
392,378,422,386,0.65114
484,378,508,386,247.37
566,389,616,400,TA ID: 513078
627,389,697,400,Margin Level: 50%
64,410,90,418,209379
138,410,170,418,AUDJPY
218,410,236,418,3.50
298,410,326,418,0.65114
392,410,422,418,0.65114
484,410,502,418,78.51
564,426,630,434,Margin Call Account
63,443,93,455,434530
137,443,173,455,USDGBP
218,443,236,455,3.50
297,443,329,455,0.65114
391,443,425,455,0.65114
483,443,511,455,221.35
63,489,101,501,TA List
63,517,89,529,TA ID
118,518,146,526,Server
201,517,245,529,TA Status
268,516,311,529,Leverage
338,518,376,526,Currency
404,518,440,526,Balance
467,517,497,529,Equity
530,518,558,526,Credit
582,515,647,531,Floating Profit
671,517,713,529,Stop Qut
737,517,775,529,Settings
63,549,93,561,513078
118,550,174,558,TradeMax-Live2
213,549,230,561,En.
268,549,292,561,1:100
336,549,357,561,USD
403,549,443,561,"68,178.19"
467,549,505,561,"68,178.19"
529,549,557,561,732.66
583,549,623,561,"68,178.19"
670,549,688,561,40%
64,583,90,593,128619
118,583,174,593,TradeMax-Live2
213,583,234,592,Dis.
268,583,292,593,1:100
336,583,357,593,USD
405,583,443,593,"68,725.86"
467,583,505,593,"68,725.86"
530,583,554,593,110.94
584,583,620,593,"68,725.86"
670,583,688,593,40%
