xmin,ymin,xmax,ymax,txt
1059,13,1101,27,Admin
67,29,149,45,Transaction
65,43,161,59,Management
224,66,376,96,Dashboard
729,75,933,91,Search by Order No. Or Tracking No.
39,105,107,117,Dashboard
39,145,107,159,vendor List
607,151,679,169,Analytics
694,156,752,162,Dotcod 4ed3
938,154,970,162,Wooke
993,153,1035,165,Months
1053,153,1085,165,Yoors
323,177,479,193,Unracaived Inventory Valuets)
39,185,77,199,Banks
306,194,496,242,"S603,575"
605,211,655,225,"S250,000"
39,225,101,239,Gift Cards
605,249,655,263,"8200,000"
39,265,145,279,Transaction State
241,283,289,299,Banks
525,285,561,297,Sea ail
605,287,651,301,"S150,Q00"
39,307,133,321,Abnormal State
241,311,311,323,Bank Name
455,311,561,323,Available Balance
605,325,651,339,"sioo,ooo"
241,339,289,353,Manual
519,339,561,353,"520,00"
39,347,93,361,Products
241,363,333,377,citibank Online
511,363,561,377,"s400,00"
605,363,649,377,"S50,000"
39,385,149,403,Shipment Tracking
241,387,281,401,Chase
521,387,561,401,"S10,00"
711,391,737,403,Mon
767,391,795,403,Tuos
823,391,851,403,Wod
879,391,909,403,Thurs
997,391,1019,403,sat
1053,391,1075,403,Sun
241,413,273,427,Bank
287,413,339,427,America
511,411,561,427,"5200,00"
956,418,1010,424,Uonsacnon
1044,418,1084,426,LCOno
39,429,95,443,Expenses
241,503,407,521,Most Bought Products
1065,505,1087,517,500
263,543,351,557,Product Name
545,543,649,559,Inbound Quantity
697,541,803,559,In-Hand Quantity
867,543,939,559,Last Update
1015,543,1057,557,Action
263,577,403,597,Sony Playstation 5
870,572,934,596,11/01/22
265,613,469,629,Microsoft Xbox Elite Series 2
866,608,940,632,09/23/22
265,649,443,665,Nintendo Switch Bundle
739,647,761,665,45
868,644,936,668,1/o8/22
39,681,159,695,Warehouse Address
262,680,444,704,"JVC 32"" Class HD (720P)"
739,683,761,701,39
869,681,937,701,08/18/22
39,721,81,735,Emails
263,718,446,742,Samsung Galaxy Note 8
869,717,935,737,11/03/22
39,763,111,777,Error Report
