xmin,ymin,xmax,ymax,txt
65,9,103,23,Finder
119,9,157,23,Prices
173,9,233,23,Watchlists
249,9,335,23,Open Positions
349,9,439,23,Working Orders
453,9,491,23,Alerts
505,9,551,23,Activity
567,9,611,23,lickets
637,9,679,23,Ccharts
707,9,739,23,Tools
755,9,789,23,News
805,9,887,23,Sprint Markets 
67,39,125,51,My Account
141,39,199,51,My Balance
233,39,469,53,"Equity €110,000   Funds [110,000   Margin G0"
483,39,509,53,Edit
1234,40,1272,48,Lavout
5,65,53,81,Finder
197,67,269,81,Watchlists
719,67,797,79,Selecta watchist
809,67,897,81,Popular Markets
962,68,994,76,Ue5
1009,67,1071,81,List (small)
1165,63,1243,83,Display vier #
13,95,105,109,Entertextorcode
197,91,241,105,Market
565,91,605,105,Period
649,93,671,105,sell
705,91,729,105,Buy
756,90,801,107,Change
819,91,857,105,96 Chg
881,91,923,107,Update
965,91,993,107,High
1025,93,1051,105,Low
215,111,357,127,HSBC Holdings PLC (LSE)
579,111,605,127,DFB
643,113,675,127,514.1
701,111,733,127,"515,2"
833,113,859,125,115
883,111,947,127,12-55-19 [9
963,111,997,127,517.6
1021,111,1053,127,512 .2
22,118,117,136,Binary 2 Hour FX
215,131,313,145,Spot FX EURIUSD
579,131,605,145,DFB
635,131,683,145,11220.1
695,131,741,145,11220.9
765,131,795,145,"-48,9"
833,131,859,145,"0,43"
881,131,931,145,13 10.30
957,131,1003,145,"11299,0"
1015,131,1061,145,"11213,6"
23,137,65,151,Indices
23,153,57,167,Forex
215,149,311,165,Spot FX USDIJPY
579,149,605,163,DFB
637,149,683,165,120614
695,149,741,165,120622
765,151,793,165,20 0
831,149,857,165,"0,17"
883,149,931,165,13-10.30
957,149,1003,165,12062.6
1015,149,1061,165,"12010,3"
23,171,63,185,Bitcoin
215,169,313,183,Spot FX GBPIUSD
579,169,605,183,DFB
637,169,683,183,"15437,.7"
695,169,741,183,"15439,7"
767,169,793,183,95 4
881,169,931,183,1310-28
957,169,1003,183,"15445,8"
1015,169,1059,183,"15329,3"
25,189,133,203,Commodities Metals
215,187,269,203,FTSE 100
579,187,605,203,DFB
639,187,679,203,"6200,8"
697,187,737,203,"6201,8"
767,189,793,203,49.6
883,187,931,203,13-10.29
959,187,999,203,"6208,8"
1017,187,1057,203,6137.8
25,203,73,219,Energies
23,221,87,235,"ETFs, ETC:"
99,221,147,235,Trackers
23,239,91,253,Shares - UK
23,255,155,269,Shares - UK International
23,271,55,285,MIOB)
23,289,91,303,Shares - US
23,305,109,319,Shares - Austria
23,323,133,337,Shares - NYSE (US)
195,327,303,345,FTSE 100 (DFB)
1229,327,1279,345,X0x
23,341,119,355,Shares - Australia
23,357,123,371,Shares - LSE (Uki
209,361,251,375,DEALS
285,361,321,375,MINS
345,361,417,375,TECHNICAL
441,361,513,375,DRAWINGS
1236,356,1280,380,# ?
23,375,117,389,Shares - Belgium
23,391,113,405,Shares - Finland
206,392,228,400,S8P
253,387,315,405,Size22 F
323,391,355,403,StoP
375,391,419,403,Uzeots
467,389,499,403,LihIT
577,389,667,403,FORCE OPEN 0
683,389,739,403,Sel6200.8
757,389,815,403,Buy 6201.8
23,409,109,423,Shares - France
23,425,123,439,Shares - Denmark
1215,427,1261,441,6201.3
1217,461,1257,475,6190.0
9,477,69,491,Watchlists
1217,489,1257,505,"6180,0"
6,496,95,514,Popular Markets
17,515,101,529,Minute Binanes
1217,519,1257,535,6170.0
7,531,63,545,UK Banks
17,549,119,563,Minute FX Binanes
1217,549,1257,563,6160.0
7,565,65,581,UK Mining
248,570,300,578,ndicative
7,583,61,597,UK Retail
206,586,232,594,05 0o
319,585,349,597,De od
435,585,465,597,07;00
552,586,578,594,0a 0o
668,586,692,594,J6dm
783,585,811,597,10 0J
899,585,927,597,"11,00"
1016,586,1040,594,1 2do
204,568,237,580,9jt
