xmin,ymin,xmax,ymax,txt
22,32,108,58,BelBANK
204,62,318,86,Hello Temi
573,69,615,81,Search
56,87,125,103,Dashboard
204,120,287,146,My Card
287,120,354,146,New Card
56,143,89,157,Card
219,183,259,201,VISA
56,196,113,214,Payment
219,213,331,227,1456 9856 6754 0808
425,213,539,227,9875 6534 8745 4532
219,231,269,245,Temi Oni
375,219,386,250,10/2024
425,231,475,245,Temi Onl
582,220,591,250,10/2024
56,253,109,265,Account
56,305,107,323,Settings
207,309,297,325,Transaction
547,311,583,325,Month
207,355,233,371,Bag
355,355,417,369,"Oct 10,2022"
487,355,513,369,$50
643,369,669,381,Mon
699,369,721,381,Tue
751,369,779,381,Wed
809,369,831,381,Thur
861,369,881,381,Fri
910,369,930,381,Sat
960,369,980,381,Sun
206,394,287,412,Photography
355,395,417,409,"Oct 10, 2022"
487,395,513,409,$50
758,434,788,442,Inflow
840,434,880,442,Outflow
205,437,257,451,Makeup
355,437,417,449,"Oct 10, 2022"
487,437,513,451,$50
207,479,257,493,Grocery
355,477,415,491,"Oct 11, 2022"
487,477,513,491,$50
640,481,697,501,History
943,485,981,497,See all
207,517,267,533,Electricity
355,519,415,531,"Oct 11, 2022"
487,517,513,531,$50
641,527,699,541,Materials
805,527,871,541,"Oct 09, 2022"
955,527,977,541,$10
55,543,103,559,Log out
207,559,239,573,Title
355,559,417,573,"Oct 12, 2022"
487,559,513,573,$50
641,569,675,581,Mum
805,569,871,581,"Oct 08, 2022"
955,567,981,581,$50
207,599,237,613,Rent
355,599,417,613,"Oct 12, 2022"
487,599,513,613,$50
641,609,669,623,Dad
805,609,871,623,"Oct 08, 2022"
955,609,981,623,$50
33,623,127,675,Get monthly subscription
207,641,243,655,Dress
355,641,417,653,"Oct 13,2022"
487,641,513,653,$50
641,651,707,663,Chocolate
805,649,871,663,"Oct 05, 2022"
953,649,977,665,$10
207,681,233,697,Wig
355,681,417,695,"Oct 14, 2022"
487,681,513,695,$50
641,691,705,705,Certificate
805,691,871,705,"Oct 04, 2022"
955,691,981,705,$60
207,723,239,737,Shoe
355,723,417,735,"Oct 14, 2022"
487,721,513,735,$50
641,731,695,743,Perfume
805,731,869,743,"Oct 04, 2022"
955,731,979,743,$30
