xmin,ymin,xmax,ymax,txt
415,37,603,57,Search or type a command
667,37,699,55,9 F
959,37,1031,55,4-   Trade
69,133,149,149,Dashboard
366,134,570,176,Dashboard
69,185,145,205,My Money
69,239,163,259,My Accounts
422,232,514,256,Overview
911,239,963,253,All time
1060,236,1346,266,Let the money managers
1062,263,1284,295,make profit for you
69,295,167,313,Become an IB
1063,303,1351,321,Get passive inccme without spending anytime
653,325,735,339,Your Balance
1063,323,1193,339,via money manager
69,348,165,369,Copy Trading
628,340,778,390,1024K
1075,379,1185,397,Open Account
68,402,187,423,Trading Platform
649,445,687,459,37.8%
945,445,983,459,37.8%0
473,451,563,469,Total Deposits
769,451,875,467,Total Withdrawls
470,468,586,518,1024
766,468,886,518,256k
73,521,242,552,Ongoing requests
105,591,285,609,You have 2 open requests
103,615,263,631,to action: This includes
426,610,646,638,Your activity as a trader
1249,621,1291,637,Weekly
139,637,219,655,new trades_
139,697,193,713,Review
399,707,433,723,S1Ok
399,759,425,773,SSk
399,813,427,829,"2,Sk"
66,838,226,862,Help & getting started
399,867,427,883,"0,8k"
84,896,128,920,Light
229,901,267,917,Dark
441,947,493,963,APR 05
569,947,621,961,APR 06
697,947,747,961,APR 07
825,945,877,961,APR 08
955,947,1005,961,APR 09
1083,947,1133,961,APR 10
1211,947,1251,961,APR 1
418,1002,561,1022,Expense Comulative
1054,1006,1181,1025,Saving Experience
1223,1009,1267,1023,"+21,14~"
426,1108,580,1134,Trending Trades
436,1176,534,1202,BTCUSDT
686,1178,764,1202,"S23,738"
439,1209,483,1223,Bitcoin
717,1209,755,1223,"+23,67"
1063,1255,1129,1275,"S22,802"
427,1273,479,1289,"523,000"
427,1327,479,1341,"522,000"
429,1379,479,1395,"S21,000"
427,1433,479,1447,"520,000"
427,1485,479,1501,"S19,000"
553,1505,591,1519,Jul 18
727,1505,763,1521,Jul 19
899,1505,939,1521,Jul 20
1073,1505,1111,1521,Jul 21
1245,1505,1285,1521,Jul 22
424,1607,499,1636,History
1227,1637,1269,1651,Vicw AII
515,1675,563,1689,Deposit
661,1675,719,1689,"+523,738"
799,1675,853,1689,11;34 PM
917,1675,961,1689,pending
515,1731,583,1747,SANDUSDT
685,1733,719,1747,5576
797,1733,853,1747,06.01 AM
923,1735,951,1747,done
515,1791,583,1805,DOGEUSDT
669,1791,719,1805,+53500
797,1791,853,1805,02:10 AM
923,1793,951,1805,done
513,1849,575,1863,FTMUSDT
681,1849,719,1863,+5791
795,1849,853,1863,06.45 PM
923,1851,951,1863,done
100,640,140,654,your
