xmin,ymin,xmax,ymax,txt
369,17,399,35,7S
259,30,400,54,MERRILL Nr
1003,31,1137,47,"Search, Quote, or Trade"
261,53,415,65,A BANKOF AmERICA COMPANY
269,97,389,113,Investment Accounts
584,104,672,112,"LLLoZULU""JFYESI"
1225,95,1375,109,Refresh | Export | Paint | Help
283,139,399,155,SIMP SEP 6YB-14925
560,136,639,156,"s23,851.54+"
68,148,178,172,Dani Targarian
743,155,831,169,"DOW 29,167.42"
901,153,1009,169,"NASDAQ 29,167.42"
1077,153,1177,169,"S&P5O0 29,167.42"
1245,153,1341,169,10 YR NOTE 1.64
743,169,833,185,"+360,29 + +1.258"
913,173,949,185,+21.85
961,169,999,185,"+0,23""8"
1085,173,1121,185,"128 ""5"
1133,169,1171,185,"+0,85 e"
1255,171,1285,185,+0.04
1297,169,1333,185,+2.808
83,175,161,193,"S123,976.54"
1302,196,1368,204,Peskume Cuoies
24,218,81,237,Summary
27,255,81,269,Accounts
492,217,637,271,WNV
719,261,803,277,Activity Center
606,282,630,288,4. ^
25,289,61,305,Trade
725,303,813,319,Account Activity
25,325,79,339,Research
295,323,325,337,Equity
339,325,367,339,Fixed
383,325,409,337,Casn
725,333,835,347,Dividends & Interest
293,341,315,353,78326
579,345,665,359,VIEW HOLDINGS
27,359,159,375,Guidance & Retirement
724,362,787,379,Statements
24,393,75,411,Settings
283,399,411,417,ROTH AUG TYB-34994
552,398,629,418,"S100,125.00"
725,393,775,411,Holdings
25,457,113,475,Activity Center
1076,458,1320,488,MERRILL PERSPECTIVESPODCAST
1057,484,1337,502,How couldan ever changing world affect your fimances?
24,492,123,510,Investment Tools
718,554,815,572,Investment Tools
295,585,325,599,Equily
339,587,367,599,Fixed
385,587,409,599,Casn
725,597,781,611,Watchlists
579,607,665,621,VIEW HOLDINGS
1177,617,1351,633,WHETHER YWUARE LCOMUINCFORARAIMY DAYA
724,626,803,644,Compare Tool
1177,633,1343,647,SUMN DAy ORSANLLSFORRETIREMEM - WE
271,651,355,667,Account Totals
583,655,677,669,0210472020 1 4}FMEST
1177,647,1331,663,HWVEAMACCOLNT THATAIIS YQJRNEELS
725,658,849,675,Option Strategy Bulder
283,691,383,707,AJI Account Totals
526,684,640,708,"5123,976.54 +"
725,689,831,703,My Financial Picture
724,718,779,737,Screeners
588,728,644,754,MN
1096,725,1296,755,OPEN AN ACCOUNT WITHUS
1063,753,1329,769,Diversify and manage a multitude of accounts with Us_
500,474,633,533,NMLAV'
