xmin,ymin,xmax,ymax,txt
409,17,455,33,Search
813,15,851,33,DATA
877,15,925,33,TOOLS
951,17,1017,33,SUPPORT
1541,17,1585,33,Jumes
15,61,479,97,Sample Model Portfolio - Aggressive Growth
1339,79,1403,95,Sniich T0;
1421,81,1459,95,Nalnie
1543,79,1573,95,G0>
16,96,184,122,2608.70   0 00 (0.009)
35,145,75,161,Quote
105,145,223,161,Fundamental char
249,143,309,163,Holdings
339,145,411,161,Allocations
441,145,473,161,Data
503,145,583,161,Performance
26,186,232,210,New Fundamental Chart
1299,189,1355,209,EXPORT
1405,189,1455,209,SHARE
1513,189,1587,209,RESET ALL
99,241,135,257,Input
239,239,297,257,Annotate
425,253,527,271,chaRT Options
1357,251,1555,271,PRESLNTATIOM VIEW` OFF: ON
39,277,123,295,Securities (?)
705,303,729,317,XTD
919,303,945,317,T0y
979,303,1009,319,MAX
1051,297,1131,315,DATERANGE
1167,299,1235,317,02/16/2018
1371,299,1451,317,MmiddiyYy
51,317,93,331,Searcn
321,315,349,331,AdD
109,357,207,375,Model Portfolio
441,349,755,369,Sample Model Portfollo - Aggressive Growth Level %
919,351,983,367,Feb 18 '19
1125,349,1165,367,1.893
62,358,111,377,Sample
213,359,281,377,Aggressive
443,371,493,389,Change
61,379,163,397,Growlh (P.2134)
443,393,763,413,Sample Model Portfolio - Balanced w{ Growth Level %
917,395,983,411,"Feb 1B ""19"
1125,393,1165,413,"3,489"
63,411,271,431,Sample Model Portfollo - Balanc ed
442,415,493,436,Change
63,433,183,453,wl Growth (P 2136)
440,434,771,461,Sample Model Porifolio - Conservative Level % Change
919,441,981,457,Feb 18 '1Q
1135,437,1165,457,963
1477,451,1509,465,Bc0t
63,465,207,485,Sample Model Portlolio
62,487,197,508,Conservalive (P 2137)
1481,505,1517,519,4.063
41,539,147,555,Financial Metrics
1481,553,1519,569,1.09k|
53,575,93,591,Sejrch
207,575,235,591,Add
289,573,345,591,BROWSE
1477,577,1511,591,000 !
61,621,99,637,Level
39,677,229,697,Ratios / Spreads / Correlations
293,675,345,693,CREATE
1479,701,1513,715,4j0t
37,733,139,753,List Browser (?)
313,735,345,751,LIST
39,787,123,807,Panel Layout
57,815,142,841,~Single Panef
1479,829,1513,841,4601
525,847,563,859,APR 78
787,847,825,859,JUL 1}
1051,845,1091,859,0CT 10
63,848,219,867,Panel per Finzncial Metric
1,885,165,899,Walting for opkappcues-nef
