xmin,ymin,xmax,ymax,txt
611,61,689,77,Bapak Junaidi
835,61,911,81,INVOICE
610,78,644,84,Investor
1137,73,1197,93,BILLS
1413,81,1499,99,18/09/2020
570,99,763,132,A person who is 54 years old and wants to keep his money safe and can transact easily and quickly so that the business will run smoothly
895,95,1007,115,Andika Sitohang
893,121,939,137,"S450,0"
955,121,983,135,Paid
90,126,222,156,Debit Card
403,121,485,159,VISA
1139,133,1503,175,You have 56 unpaid bills this month. Pay immediately before it's too late.
571,167,603,179,Needs
895,159,991,179,Ucup Kutilang
573,185,671,197,1. Safe deposit of money
893,185,937,201,"$150,0"
955,185,983,199,Paid
573,201,665,213,2. Can transact quickly
90,196,444,226,4857 3987 2356 3544
573,215,747,229,3. The discount is not too big from the bank
1167,217,1217,233,Netflix
895,225,991,241,Annette Black
1408,228,1471,251,Pay Now
88,236,138,260,2878
574,244,614,252,Frustration
893,247,939,263,"$540,0"
955,249,981,263,Due
1164,240,1232,266,$14.00
574,261,708,273,1. The money transfer is very large
574,277,663,289,2. The money was lost
574,291,745,303,3. When the transfer feels very complicated
895,289,987,305,Jenny Wilson
87,293,208,318,Harry Osborn
284,292,398,322,VALID THRU 17/27
574,307,733,319,4. Difficult to understand another person
893,311,939,327,"$540,0"
955,313,981,327,Due
574,324,704,332,5. Having a trouble with gangstar
1167,321,1219,339,Spotify
1407,334,1471,356,Pay Now
895,351,995,367,Theresa Webb
1164,346,1232,370,$15.00
893,375,939,391,"$540,0"
955,375,981,389,Due
903,409,999,425,See All Invoices
1285,409,1369,425,See All Bills
78,429,217,447,SPENDING PLAN
505,431,547,447,DAILY
575,431,633,447,WEEKLY
683,431,749,447,"Sept, 2020"
77,489,125,505,"$1,000"
77,535,115,553,$900
860,540,1086,572,INVESTMENT
77,583,115,599,$800
77,629,115,645,$700
857,619,1148,700,"$528,182"
1260,643,1463,674,+$621.26 (8.21%)
77,677,115,693,$600
75,721,115,739,$500
121,751,161,767,18/08
187,749,229,767,19/08
255,749,299,767,20/08
325,751,367,767,18/08
393,751,435,767,19/08
461,749,503,767,20/08
531,751,571,767,21/08
597,749,641,767,22/08
667,751,709,767,23/08
860,744,940,772,17.0K
860,822,946,848,14.0K
93,869,267,905,Deleting Item
860,898,940,924,11.0K
94,956,710,1025,You want to delete this important item. This action will be not undo and you can't regret this
860,974,930,1002,9.0k
860,1052,930,1078,6.0K
178,1088,294,1114,CANCEL
552,1088,662,1114,DELETE
