xmin,ymin,xmax,ymax,txt
18,48,263,87,Bazzar Payment
372,56,446,80,search
46,150,110,174,Home
701,153,733,165,Wcak
770,154,802,162,Monin
841,151,865,163,Year
927,159,999,175,My Cards
46,218,160,242,Dashboard
236,216,268,248,08
309,221,395,237,Total Users
621,221,760,237,Total Transactions
961,221,1065,237,card Balance
308,242,364,266,6095
827,235,877,255,1805
956,238,1072,264,"835,460.00"
829,257,881,271,Refunded
983,271,1045,285,0324 2408
1052,274,1078,282,0 0 0 0
1088,274,1114,282,J0
48,272,146,300,My wallet
653,287,723,323,2010
828,296,872,320,846
956,310,1014,318,Ranuitoraut
1071,299,1107,317,VISA
829,319,863,331,Foiled
46,322,110,346,Cards
667,323,713,339,Trans
828,352,856,376,79
960,356,1014,364,40r 4404
1017,353,1049,371,1123
1139,361,1177,375,"54,340"
955,367,985,381,card
47,373,143,393,Calendar
829,375,887,387,Incomplete
956,414,1016,422,2402 #482
1019,411,1059,429,3323
1141,417,1177,431,12.440
46,420,100,444,Chat
315,427,391,443,Your Cost
615,425,779,443,Total Linked Accounts
959,427,987,439,Card
826,444,876,468,1204
475,467,503,479,Food
561,467,585,479,204
830,470,860,478,Banas
44,470,144,498,Shopping
1037,473,1087,487,Add Card
360,490,406,514,85%
475,493,505,505,Shop
563,495,585,507,344
343,517,417,531,Spent balance
475,519,507,533,Other
563,519,585,533,456
650,502,730,534,3660
829,509,869,529,890
46,518,154,542,Merchants
830,530,860,538,Card'
347,533,411,547,72049/1000
655,537,727,551,Accounts
475,547,545,559,Entertaiment
563,547,585,559,495
46,566,190,592,Payment links
475,577,503,589,Rent
561,577,585,589,899
828,566,858,590,99
829,589,859,601,None
972,578,1086,604,"735,460.00"
979,609,1059,621,Wallet Balance
46,616,168,640,Transaction
335,647,513,665,Total Transaction Value
982,648,1070,656,00 10 _inonidsh wdok
46,664,184,695,Helplsupport
354,670,462,696,"535,510.00"
559,675,655,693,"Rs365,210.00"
759,675,857,695,"Rs1000,110.00"
978,682,1032,690,Entur umouni
336,698,364,704,3
371,697,471,709,lower than last ycar
557,697,613,709,Merchants
758,698,786,706,USCIs
1033,723,1087,737,Transter
78,788,232,816,Get Bazzar pay
929,793,993,805,Today users
78,818,212,846,on App Store
937,833,1057,847,~35% Wghar Uhon yoslorday
928,884,1021,900,Today transaction
935,905,983,919,"Rs 10,557"
937,927,1053,939,435% @oat Itan yos{ordoy
1130,1002,1178,1008,Ahi Fnaa
317,1001,361,1017,Users
510,1004,550,1012,Thiavoat
621,1001,695,1017,Merchant
828,1004,868,1012,Iamoat
929,999,1081,1017,Upcoming payment
364,1043,413,1057,Rahul raj
671,1045,707,1057,Mobile
933,1043,973,1057,EMilop
1155,1039,1191,1053,"33,899"
46,1039,134,1071,Settings
511,1051,563,1065,Rs 348.33
932,1054,1004,1062,Rovembuni2 2122
1016,1054,1046,1062,0-350n
933,1074,1017,1087,Credit payment
1155,1075,1189,1089,"10,000"
366,1090,416,1098,Jackosei
671,1087,699,1099,Shop
934,1088,968,1094,LUCCMd
976,1086,1006,1094,LL 2012
1018,1086,1048,1094,9.J5om
511,1091,561,1105,Rs 234.73
48,1094,130,1120,Log Out
956,1106,980,1114,laler
1155,1107,1183,1121,3399
934,1116,1006,1124,Docembtn177027
1018,1118,1048,1124,9alam
366,1134,420,1142,Rose man
671,1133,701,1145,Airtel
933,1135,991,1149,Apple store
511,1139,559,1153,Rs 122.63
976,1146,1046,1154,122022at 9 350m
1155,1137,1193,1151,"45,600"
934,1166,1000,1174,Grocenvshon
1155,1165,1183,1179,3899
972,1176,1006,1184,[122022
1018,1176,1048,1184,0360m
365,1179,425,1193,Margin call
511,1181,553,1193,Rs 100.3
671,1181,699,1193,Food
935,1195,1023,1207,Amzon subscribe
1155,1199,1181,1211,1500
934,1208,1006,1216,Duccmbor 12 2021
1018,1208,1048,1216,@ JGam
48,1214,194,1242,Switch to light
366,1228,410,1236,Josminc
671,1223,745,1235,Entertainment
511,1231,551,1243,Rs 1040
933,1230,1025,1246,Medical payment
1155,1235,1183,1249,2800
934,1244,1048,1252,Doccmbor 12 2022at $350m
935,1104,955,1119,Pay
