xmin,ymin,xmax,ymax,txt
538,12,580,20,Downiaad
294,122,364,130,Leah Templeman
296,136,360,144,leanem Onzo CCm
258,164,318,172,Freuze ~jur card
356,164,400,172,Get euppont
199,205,285,225,"E2,410.35"
395,205,457,225,E16.60
200,230,270,238,account bzlancc
406,230,454,238,Sncnttodav
200,268,264,276,Sturday Bth Kai
232,292,276,300,Sansbun 5
426,292,454,300,EI6 ZU
232,324,266,330,Cmttton
232,350,300,358,Tenudi Asemcah
422,354,454,362,+EIR dO
232,362,286,368,Unu nuen
200,394,254,402,Fridzt fth Har
231,415,293,427,Yard Sale Puza
232,448,260,456,Snotify
432,448,454,456,69 90
231,479,275,491,Starbucks
431,479,457,491,E2.20
199,517,255,529,Fridzy: #th May
231,541,255,553,HeM
425,541,457,553,"E42,40"
203,623,453,635,YoucaMen yol last fifty transactions On Mtonzo Man Pitaso Uso You
368,636,392,642,ninan
