xmin,ymin,xmax,ymax,txt
449,44,652,70,Welcome Back Kalam
1182,45,1277,65,2 NEW UPDATES
217,57,309,77,SK Kalam
219,85,351,100,Joined 6 months ago
1040,128,1186,152,Recent Contacts
1041,159,1125,175,18 recipients
469,191,539,205,Home Loan
611,189,667,203,Car Loan
733,189,807,203,Maintinance
875,189,929,203,Boosters
203,205,253,225,Goals
201,284,308,310,Monthly Plan
529,299,631,313,Harvested losses
821,297,905,315,Total earnings
1052,298,1137,316,Group Party
528,318,600,348,S0.00
820,318,948,348,"$10,596.80"
201,368,272,394,Settings
529,395,619,411,Total net worth
821,395,921,413,Total for all goals
528,416,644,444,"$5,250.90"
818,416,936,444,"$5,596.80"
1131,417,1211,431,Dakota Milk
1131,437,1197,455,$420.00
143,470,233,490,Activity Graph
308,466,374,490,$186k
263,505,373,519,Between SEP 9-27
450,496,601,528,Recent Activity
449,557,510,582,History
539,557,622,582,Upcoming
775,571,875,585,6 Sep 20 - 13 Sep 20
1038,562,1148,588,Send Money
138,640,160,646,Today
451,631,525,647,"13 Sep, 2020"
1117,629,1155,643,Debit
1245,629,1309,645,"$10,680"
175,659,229,673,Water Bill
340,657,385,673,-$280
175,674,234,682,Unsuccessfully
485,668,603,688,Amazon Support
691,681,737,695,Supplies
884,677,957,693,"-$10,100.00"
483,691,603,705,"10 Sep, 2020 at 3:30 PM"
136,714,176,722,Yesterday
1095,704,1209,721,Enter the amount
175,733,279,749,Income: Salary Oct
339,733,385,747,+$1200
453,745,527,759,"10 Sep, 2020"
1070,732,1192,764,$800.00
175,785,237,799,Electric Bill
339,785,385,799,-$480
485,783,581,799,Roland GmbH
175,798,225,812,Successfully
690,793,745,809,Marketing
875,793,957,809,"+$50,400.00"
483,803,603,817,"10 Sep, 2020 at 3:30 PM"
1075,827,1159,843,Astrid Hayes
173,837,301,851,Income: June transfers
339,835,385,851,+$500
485,837,601,853,Bank of America
693,849,769,863,Office supplies
883,845,957,861,"-$10,100.00"
483,857,603,871,"10 Sep, 2020 at 3:30 PM"
173,887,239,901,Internet Bill
339,887,385,901,-$100
485,889,595,905,Cash withdrawal
1157,881,1241,897,Send Money
176,904,224,912,Successfully
692,900,777,915,General banking
883,897,957,913,"-$20,905.00"
483,911,603,925,"10 Sep, 2020 at 3:30 PM"
