xmin,ymin,xmax,ymax,txt
76,54,198,80,La Moneta
277,53,413,91,My cards
435,61,505,77,New card
73,157,169,175,Dashboard
296,148,476,176,Personal banking
773,151,839,171,Reports
856,150,918,174,Activity
937,151,971,169,Bills
73,213,129,231,Wallet
268,235,324,245,La moneta
341,235,431,247,Mastercard debit
887,239,921,253,Food
75,271,181,287,Transactions
887,275,935,289,Clothes
887,309,915,323,Taxi
1147,315,1255,331,Elvin Endiwors
73,325,133,345,Reports
269,331,409,347,2504 1120 1810 0708
886,344,925,361,Study
269,355,307,367,04/24
73,379,127,399,Profile
305,381,343,395,04/24
887,381,923,395,Meds
1107,355,1290,406,"S3423,13"
1137,407,1257,421,Current Balance
1042,478,1226,504,All Transactions
1279,485,1335,501,View all
298,504,408,530,Payments
653,498,739,530,Activity
1043,533,1147,553,"20 Dec, Sunday"
537,543,567,559,73%
703,567,741,583,$452
1102,575,1195,595,Google Ads
1285,581,1357,601,-$45.70
1102,598,1190,614,Transaction
1102,643,1173,663,McDrive
1285,650,1358,674,-$29.99
1102,669,1141,685,Cafe
1102,713,1159,733,PayPal
1268,718,1358,742,+$789.99
1102,736,1190,752,Transaction
397,747,473,765,Payments
747,747,805,765,Activity
337,769,367,785,75%
397,769,445,785,Budget
457,769,499,783,Period
683,765,715,783,50%
747,771,775,783,Max
809,769,883,783,Transdction
397,787,437,801,"$1,200"
457,787,509,801,1-7dec
747,787,795,801,"$223,76"
807,787,841,801,Food
1102,781,1157,799,Netflix
1285,789,1357,809,-$17.05
1102,805,1173,821,Online TV
71,825,135,843,Settings
1102,848,1162,872,Spotify
1285,857,1357,877,-$1O.00
1102,875,1149,891,Music
