xmin,ymin,xmax,ymax,txt
173,33,292,83,wize
361,44,527,77,Dashboard
592,44,678,77,Sales
743,44,895,75,Purchases
961,36,1134,86,Accounting
1194,36,1323,87,Banking
1385,45,1502,82,Reports
1562,37,1693,88,Settings
82,211,389,295,Hi Emely
2161,251,2361,295,View Reports
2527,250,2717,292,Send Money
84,301,1063,351,Thanks for coming back. Here we show the summary of your activity:
85,487,346,524,Total Transactions
598,486,854,527,Total Money Sent
1192,485,1511,527,Total Money Received
82,541,238,615,358
592,532,1024,631,"S15,629.56"
1186,532,1629,630,"S39,239.20"
83,634,413,670,19 transactions this month
598,633,1023,670,"S2,530.23 money sent this month"
1190,634,1673,671,"S4,692.06 money received this month"
84,821,369,871,Transactions
467,828,894,872,Last 90 days: Jan 28 - Nov 27
2022,828,2205,865,Search here:
2314,828,2713,870,Sort by Recent transactions
173,945,474,973,TRANSACTION ID / DATE
599,945,769,973,DESCRIPTION
1262,945,1437,973,PAYEE / FROM
1805,945,1944,973,CATEGORY
2522,945,2639,973,AMOUNT
172,1046,357,1083,#O9KSD992
598,1047,842,1089,Invoice payment
1273,1069,1317,1095,KW
1348,1067,1556,1099,Kristin Watson
1804,1066,2067,1105,Payment received
2478,1065,2642,1107,"53,640.00"
171,1088,301,1128,Yesterday
597,1088,805,1128,Checking *4682
172,1210,357,1247,#OD8F2K30
600,1212,965,1251,Wireless phone company
1347,1227,1647,1270,Indihome Telkomsay
1803,1227,2107,1271,Telephone - Wireless
2529,1230,2642,1267,S75.89
173,1257,343,1286,Jan 24.2022
597,1252,806,1292,Checking *4682
172,1374,353,1411,#29392390
598,1374,1089,1415,Rent Payment - 160 Riverside Blvd
1347,1392,1708,1429,160 Riverside Boulverard
1804,1393,2011,1435,Rent payment
2492,1394,2642,1433,"S1,750.00"
173,1421,343,1450,Jan 23.2022
597,1416,803,1456,Checking *4682
172,1538,351,1575,#O9KAL272
601,1541,929,1574,ACH Electronic Credits
1348,1555,1655,1595,"ACH Electronics, LLC"
1805,1559,1942,1590,Choose a
1944,1554,2081,1602,category
2483,1558,2642,1597,"S2,450.30"
172,1583,339,1616,"Nov 27,2021"
597,1581,803,1618,Checking *4682
172,1702,362,1739,#2982KMSO
600,1702,814,1739,United Airlines
1349,1720,1566,1757,United Airlines
1804,1719,2183,1764,Refund for Travel Expense
2505,1722,2642,1759,S580.00
173,1747,321,1778,Dec 7. 2021
597,1744,806,1782,Checking *4682
