xmin,ymin,xmax,ymax,txt
246,36,366,66,Card List
77,62,180,88,Ofspace LLC
89,89,153,103,Active Now
648,80,754,104,Ofspace LLC
322,106,348,114,3
73,151,139,167,My Stock
287,157,333,171,LICA
604,134,994,188,Cashback up to 66%
265,197,445,217,1200 1120 9876 **##
73,217,147,233,Dashboard
647,221,695,237,Active
265,227,313,245,09/23
71,285,139,305,My Stock
264,290,372,318,"s240,399"
267,325,353,341,Total Balance
30,336,60,360,ddf
73,341,131,359,Analysis
636,342,718,366,Transfer
1072,342,1178,366,Conversion
73,393,125,411,Market
246,382,388,410,Transaction
489,389,541,405,See all
1023,393,1075,407,Amount
603,409,747,427,9876 8775 5432 0980
295,433,419,449,Pathao Bangladesh
483,431,541,449,S150.00
1051,431,1083,445,USD
1125,429,1159,445,0ooo
1267,431,1297,445,GBL
1347,429,1375,445,090
73,445,133,461,Portfolio
295,457,355,469,Debit Card
489,457,541,471,4.45 PM
587,457,791,473,Visa or MasterCard of any USA Bank
1021,469,1193,485,"Ratez1.32 (Jun 21,13.99 UTCI"
70,497,129,517,Settings
295,511,407,525,Starbucks Coffee
497,509,541,525,S4.50
295,535,359,547,Credit Card
489,535,541,549,9.45 PM
1129,529,1237,549,Invesment
1369,533,1411,547,See all
588,552,706,584,My Active
923,559,973,575,"Jan 21,"
987,559,1083,577,"July 21, 2022"
1176,568,1259,588,Ofspace LLC
1351,579,1411,595,S150.00
295,589,415,605,Nagad Bangladesh
483,587,541,603,S150.00
1177,591,1269,605,Dorik Design tour
295,613,355,625,Debit Card
489,613,541,627,4.45 PM
835,621,877,639,"7,900"
587,631,615,647,S6k
1177,633,1287,649,Dorik Bangladesh
1351,641,1411,659,S150.00
1175,655,1271,669,Dorik Design tour
295,667,369,683,Foodpanda
481,665,541,681,S450.00
295,691,359,703,Credit Card
489,691,541,705,9.45 PM
587,689,615,703,S4k
1176,694,1295,714,Nagad Bangladesh
1351,705,1411,721,S150.00
1176,715,1277,731,Co-working Space
295,745,389,761,Rokomari Com
481,741,541,761,5150.00
587,745,615,759,S2k
1177,759,1245,775,Bkash App
295,769,355,781,Debit Card
489,769,541,783,4.45 PM
1351,767,1411,783,S150.00
1175,779,1251,795,yearly meetup
295,823,371,839,Apple Store
481,821,541,837,S450.00
1177,821,1287,839,Dorik Bangladesh
621,831,649,847,Jan
695,831,723,845,Feb
769,831,797,845,Mar
845,831,873,847,Apr
917,831,949,847,May
995,833,1023,845,Jun
1071,831,1093,845,Jul
1351,831,1411,847,S150.00
295,847,359,859,Credit Card
489,847,541,861,9.45 PM
1177,843,1269,857,Dorik Design tour
25,397,59,401,33
