xmin,ymin,xmax,ymax,txt
204,20,362,44,"Hello, Rick Rover!"
901,21,943,35,Cards
1053,21,1101,33,Add Card
545,37,585,49,Search
81,41,115,67,Your wallet
204,47,393,63,Here you can manage your budget
919,77,959,97,VISA
225,99,283,113,Products
299,101,351,113,per month
383,99,425,113,Public
456,99,509,113,per month
542,97,587,115,Gaiety
617,101,669,113,per month
702,97,745,115,Gaiety
778,102,826,110,per month
920,114,963,120,CARD NUMBER
49,117,113,131,Dashboard
223,119,269,133,$435.34
383,119,425,133,$245.14
543,119,581,133,$54.04
701,119,741,133,$54.04
917,129,1091,149,5432 4322 5435 6543
49,153,87,167,Wallet
49,190,103,204,Category
919,205,979,217,January 2022
48,226,95,243,Savings
225,233,345,249,Spending schedule
368,232,390,240,card
486,234,538,242,This month
607,233,667,247,Expenses
688,232,710,240,card
741,233,797,245,Last month
368,244,390,252,cash
688,244,712,252,cash
47,263,91,279,Budget
47,300,119,315, Notifications
47,385,95,403,Settings
47,423,91,439,Log out
919,425,1033,439,Latest transaction
225,433,263,447,Costs
545,433,591,445,Income
943,455,993,469,Water bill
1031,455,1063,467,$97.81
943,481,961,494,Bar
1031,481,1063,495,$15.99
393,491,437,503,Products
459,491,481,503,35%
711,501,743,513,Salary
771,501,795,513,35%
392,506,439,519,Transpoit
459,509,481,521,25%
941,507,991,521,Shopping
1031,507,1063,521,$33.32
267,517,321,531,Total costs
581,519,643,531,Total income
712,518,734,526,Rent
771,517,795,529,25%
391,523,441,537,Shopping
459,525,481,537,25%
275,531,309,545,$15 312
595,531,633,543,$24 312
712,534,756,542,Freelance
771,533,795,545,25%
942,536,994,544,Restaurant
1031,533,1063,547,$10.99
394,542,450,553,Investments
459,543,481,553,25%
712,550,742,558,Others
771,549,795,561,25%
392,557,428,567,Present
459,557,481,567,25%
943,559,1005,573,Electricity bill
1029,559,1053,573,$40
61,571,119,585,Rick Rover
61,589,137,601,rick@gmallcom
943,587,993,599,Water bill
1031,585,1065,599,$24.65
942,614,994,622,Restaurant
1031,613,1065,625,$45.24
