xmin,ymin,xmax,ymax,txt
1269,29,1359,43,Marc Anderson
105,33,185,49,Dashboard
233,33,271,49,Send
317,33,373,49,Receive
421,33,473,49,Borrow
520,32,577,52,Reports
626,31,705,52,Challenges
1269,45,1325,57,Microsoft
1051,121,1127,137,Your Coins
1157,121,1267,137,Available Coins
1294,120,1389,141,Coming Soon
107,163,255,179,"Welcome back, Marc"
625,165,757,181,Weekly Rewards Rates
799,167,875,181,Loyalty Level
107,215,181,231,Total Holding
415,215,495,229,Total Rewards
833,223,899,239,+300.7%
1101,223,1151,239,Celsius
1305,221,1381,239,"$53,0000"
105,239,359,275,"$302,235,083.82"
413,239,593,275,"$373,263.17"
863,251,901,269,Gold
1099,247,1181,265,5.12% APY
1257,247,1381,265,"4,107.647097 CEL"
1093,301,1221,317,Already earning In CEL
109,373,207,389,Your Holdings
435,375,483,389,Balance
531,375,583,389,Rewards
769,375,799,389,Year
1099,375,1149,391,Bitcoin
1299,371,1383,391,"$10,575.85"
1099,397,1181,417,5.12% APY
1349,399,1385,415,1BTC
162,437,184,449,Jan
225,437,247,449,Feb
287,437,313,449,Mor
351,437,375,449,Apt
411,437,441,449,May
477,437,501,449,Jun
541,437,563,449,Jul
603,437,627,449,Aug
665,437,689,449,Sep
729,437,753,449,Oct
789,437,817,449,Nov
855,437,879,449,Dec
1093,453,1239,467,Earn 6.20% Interest in CEL
1099,525,1167,543,Ethereum
1299,523,1385,543,"$30,575.85"
357,551,447,565,"March 15, 2019"
1099,549,1181,569,2.30% APY
1343,549,1385,569,1ETH
377,595,453,611,Total Balance
507,595,547,609,25.1%
1093,605,1237,619,Earn 7.21% Interest in CEL
375,615,469,631,"$51,013,523.20"
1099,677,1155,693,Litecoin
1305,677,1385,695,"$1,500.00"
1097,701,1179,719,1.92% APY
1269,701,1385,721,502.632179 LTC
1093,757,1239,773,Earn 6.61% Interest in CEL
107,782,203,803,Your Earnings
431,785,479,799,All-Time
547,785,575,799,Year
712,771,899,811,"$784,621.10"
