xmin,ymin,xmax,ymax,txt
219,17,263,29,Scarch _
15,23,47,39,PAY
57,25,93,39,HOA
197,63,243,75,Invoices
913,61,987,75,Create Involce
39,69,103,83,Dashboard
275,99,313,111,TOTAL
463,99,519,111,PAST DUE
663,99,717,111,CuRRENT
863,99,909,111,FUTURE
39,105,81,119,Peoplc
246,110,340,134,"S129,000.76"
449,113,533,133,"S78,000.18"
643,111,733,131,"S32,000.08"
841,111,927,131,"S19,000.50"
15,139,71,155,FR   Units
199,164,299,182,Collectlon Progress
315,165,373,179,Cash Flow
39,175,87,189,Invoices
38,208,95,226,Payments
229,211,343,225,Colected 539.648.88
369,211,481,225,"Invaiced 552,002.59"
779,211,801,223,Apr
899,209,935,223,"Mor ""18"
39,245,111,259,Transactions
213,251,249,265,"s5,000"
38,278,87,296,Budgets
213,287,249,301,S4000
38,314,124,328,Communication
213,323,249,337,S3000
39,349,101,363,Collccilons
213,359,249,373,82.000
39,385,85,399,Reports
215,395,249,409,Slooo
38,417,117,435,Crowdfunding
267,449,297,463,Apr 17
325,449,357,461,Y17
388,450,416,458,Upn 17
449,449,477,461,Jul7
507,449,539,463,1917
567,449,599,463,Scp I7
627,449,657,461,Oct 17
686,450,714,458,To]
746,450,774,458,Decit
805,449,837,461,Jan 18
865,449,897,461,Fcb 18
923,449,955,461,Mot 18
197,495,249,507,Accounts
763,495,861,509,Add Bank Account
890,493,983,511,Manage Accounts
213,527,247,539,NAMe
403,527,453,541,DALAnce
523,527,595,541,LaSt Deposit
701,527,787,541,PeNDING FUNDS
859,527,967,541,UpcOMing DePositS
213,559,291,573,Businessselect
333,559,363,573,9936
403,559,455,573,"57,.123.10"
523,559,639,573,5783.64 (15 May 2018)
703,559,737,573,So.0o
859,559,923,573,"Vicw"" Dctails"
197,600,301,618,Units and Payments
941,601,987,615,scurch
415,633,445,645,DATE
537,633,569,645,NME
669,633,715,645,METHOD
807,633,853,645,ANOUNT
923,633,969,647,ActioNS
289,557,317,574,Chng
