xmin,ymin,xmax,ymax,txt
98,52,242,80,DASHBOARD
459,59,504,75,Search
369,99,497,115,MY STATISTICS
397,143,423,155,April
795,151,857,165,Last Updated
1005,151,1089,165,02/02/2021 12:30
381,171,421,185,Monthly
794,192,850,200,Impressions
1049,189,1089,203,"269,420"
132,198,192,222,Home
381,213,447,225,Fixed Monthly
565,209,601,223,$4.50
382,224,424,232,Expenses
795,227,825,239,Clicks
1055,227,1089,241,"72,660"
380,252,435,266,Unexpected
597,249,637,263,$5.55
132,262,212,286,Projects
382,266,424,274,Expenses
793,265,825,277,Leads
1061,265,1089,277,"2,220"
381,295,409,307,Deblt
631,289,669,305,$7.50
382,306,426,314,Payments
793,303,823,315,Sales
1055,303,1089,315,"38,120"
132,323,220,351,Statistics
382,338,410,346,Credit
513,331,553,347,$2.30
795,339,855,351,Commission
1045,339,1091,353,"$100,690"
381,347,429,359,Payments
704,354,739,360,More Details
130,390,216,414,Calendar
369,389,517,405,MY INVESTMENTS
841,403,875,419,Profit
1011,405,1043,419,Loss
385,429,445,445,Trust fund
513,433,535,445,50%
595,431,635,445,Stocks
786,430,828,438,Last Month
956,430,996,438,Last Month
383,445,429,457,Adobe Bank
594,446,622,454,RAR LTD.
712,446,741,452,Interest rate
130,451,211,481,Settings
378,482,446,506,$ 2500
470,482,536,506,$ 5000
590,484,654,508,$ 1200
684,484,748,508,$ 1520
386,508,414,516,Invested
475,505,499,517,Profit
596,508,622,514,Invested
132,515,270,543,Help & Support
384,562,412,570,Result
702,568,735,574,Check Now
803,563,869,579,BALANCE
802,584,838,592,January
966,614,1087,650,$ 5010.50
381,179,409,192,Salary
670,165,708,180,$9.50
500,446,530,452,Interest rate
684,505,710,517,Profit
720,430,746,443,0.1%
