xmin,ymin,xmax,ymax,txt
729,165,1268,226,"Hi, here is your daily stats"
734,238,1364,358,Dashboard
1025,602,1321,741,"1,567"
1327,670,1478,713,A +3%
1897,606,2121,727,224
2212,670,2342,713,A -8%
2756,604,3050,740,"1,232"
3057,670,3204,713,4 +3%
3437,672,3501,749,R
3623,610,3915,737,"3,5m"
105,749,424,812,88   Dashboard
1038,750,1358,798,Reviews Cases
1902,749,2224,809,Pending Cases
2767,749,3122,809,Approved Cases
3633,750,4043,801,Median check time
120,921,419,972,83   Customers
197,1075,386,1130,Analytics
1136,1150,1334,1199,Sep 25 - 30
1655,1162,2055,1214,Successful checks
2500,1162,2887,1214,Reviews over time
3668,1174,3770,1205,Actual
3925,1169,4070,1211,Expected
191,1227,361,1288,Reports
192,1382,323,1443,Billing
3269,1298,3565,1446,985
1648,1373,2058,1549,"2,567"
1193,1539,1276,1578,+5%
765,1495,1175,1664,"5,748"
1193,1582,1447,1622,from last week
1691,1577,1714,1596,A1
1726,1565,2101,1605,+23%   conversion rate
3359,1606,3492,1645,reviews
190,1685,372,1754,Settings
770,1678,1006,1730,Total users
2196,1696,2316,1736,Sep 28
2504,1689,2570,1726,Jan
2873,1686,2943,1726,Mar
3238,1686,3321,1735,May
3617,1689,3677,1726,Jul
3966,1683,4046,1732,Sep
2496,1894,2852,1951,Individual Cases
3855,1904,3988,1944,View all
771,1921,1078,1993,You have
1189,1917,1465,2008,insights
771,2002,1403,2077,on KYC verification
2521,2035,2688,2078,Applicant
3014,2035,3154,2074,Created
3366,2035,3566,2074,Documents
3714,2035,3831,2074,Status
761,2079,1388,2164,flow and active (12
2520,2150,2740,2199,Jane Cooper
3010,2150,3136,2202,2h ago
3366,2152,3536,2192,Basic KYC
3749,2166,3884,2197,Processing
772,2180,967,2241,cases
2515,2277,2746,2325,Jenny Wilson
3010,2279,3127,2322,Id ago
3366,2276,3536,2319,Basic KYC
3748,2287,3871,2320,Approved
768,2387,964,2453,Updates
1226,2388,1503,2450,"Sep 28,2pm"
1656,2400,1722,2440,Jan
1968,2400,2027,2436,Jul
2273,2400,2342,2440,Oct
2521,2403,2708,2443,Robert Fox
3010,2401,3125,2449,Sep 12
3366,2400,3536,2443,Basic KYC
3749,2415,3860,2442,Rejected
223,2457,526,2506,Vanessa Lourens
220,2513,543,2561,lourens@mail.com
