xmin,ymin,xmax,ymax,txt
274,16,424,48,Dashboard
545,25,595,41,Search
945,25,999,41,Deposit
1041,25,1133,41,0   Withdraw
81,33,180,65,Crypton
291,103,387,119,Total balance:
1093,103,1187,121,Total earnings
1289,117,1337,131,"#32,558,"
287,119,420,151,"S124,741.34"
449,129,481,141,+3700
989,127,1033,141,AlI Time
1086,118,1187,154,"542,665"
1111,161,1137,175,1226
1177,163,1205,177,7690
1245,163,1275,175,3090
1315,161,1343,175,4196
291,175,321,189,125K
63,203,107,219,Home
291,205,321,219,124K
291,235,321,251,123K
651,239,761,255,"04/08/22,06.00"
936,188,1036,294,CW
63,257,101,273,Chat
651,261,703,273,Balance:
743,259,791,273,"5121,548"
291,265,321,279,122k
429,243,571,327,NM
63,313,167,329,Merchant page
291,327,321,341,I20K
291,357,317,371,719K
63,367,121,383,Settings
291,387,319,401,IIBK
335,421,399,437,1Aug 2022
449,421,505,437,Aug 2022
555,423,611,437,Aug 2022
661,421,717,437,Aug 2022
767,421,823,437,Aug 2022
873,423,929,437,Aug 2022
977,421,1035,437,Aug 2022
1111,423,1137,437,APY
1181,423,1205,437,Sell
1239,423,1283,439,Bought
1303,423,1355,437,Referrals
292,488,428,520,My Portfolio
1093,495,1223,511,Recent Transaction:
1303,497,1335,511,Week
291,533,379,549,CRYPTO NAME
489,533,547,549,AMOUNT
617,535,699,549,VALUE IN USD
769,533,871,549,CHANGE % (24H)
941,533,1027,549,% OF DEPOSIT
1123,529,1165,543,Bitcoin
1283,529,1345,543,"522.,997.03"
1123,543,1145,555,Buy
1283,543,1359,555,"Tocoy, 12.J0 PM"
1123,565,1179,577,Ethereum
1283,563,1347,577,"554,887.03"
321,575,365,589,Bitcoin
489,581,517,595,2.03
615,581,663,595,"543,032"
769,583,793,595,71%
941,581,971,595,359
1285,577,1359,591,Today. 12.25 PM
321,589,345,601,BTC
1123,599,1165,613,Bitcoin
1285,599,1341,613,"S1I,849.01"
321,613,379,627,Ethereum
1123,613,1145,627,Buy
1285,613,1361,625,Today; 11.4B AM
489,619,517,633,11.35
615,619,663,633,"535,333"
769,619,795,633,+380
941,619,969,633,279/
321,627,345,639,ETH
1123,635,1165,649,Bitcoin
1285,635,1339,649,"54,777.88"
321,651,363,665,Solana
1123,649,1145,661,Buy
1285,649,1361,661,"Tecoy, I3O AM"
489,657,511,669,451
615,657,659,671,"517,246"
769,657,795,671,+390
943,657,967,671,139
1123,671,1179,683,Ethercum
1287,669,1343,685,"58,574.23"
1289,683,1359,697,Today; Il:l7 AM
321,689,361,703,Tether
489,695,513,709,350
617,695,667,709,5350.124
769,695,807,709,-1.7528
941,695,963,709,296
321,703,351,715,USDT
1123,705,1165,719,Bitcoin
1287,705,1341,719,"S8,987.35"
1123,719,1145,731,Buy
1287,719,1359,731,Tcdoy; I:1O AM
321,727,371,741,Litecoin
617,733,661,747,5707.55
769,733,795,747,+390
941,731,965,745,40
321,741,343,753,LTC
1123,741,1179,755,Ethereum
1283,741,1333,755,"59,456.17"
1283,755,1359,767,"Today, I0.54 AM"
321,765,399,779,Binance Coin
489,771,515,785,300
615,769,653,785,"S5,146"
769,771,801,785,~2.290
321,779,345,791,BNB
1123,775,1165,789,Bitcoin
1283,775,1337,791,"51,332.34"
1283,789,1359,803,Today 10;45 AM
1123,811,1165,825,Bitcoin
1281,811,1337,825,"51,332.34"
62,820,115,840,Logout
290,815,363,833,Showing 1 To
375,817,503,833,Of15 Cryptocurrencics
1280,824,1361,837,Today; I0.45AM
316,290,443,341,MA
289,297,317,308,Izik
