xmin,ymin,xmax,ymax,txt
437,21,485,37,CEX
511,21,573,37,Eh EXMO
595,23,649,35,DITFINEX
136,24,246,50,SolarBank
339,31,401,47,BTC price:
681,31,751,45,Server Ilme:
772,26,898,50,13.27.32 GMT
922,30,973,48,Support:
1104,30,1167,48,Language:
431,41,479,55,58402.00
517,41,565,55,88402.00
603,41,651,55,58402.00
60,82,113,101,Jeremy
303,111,373,125,Net Income
525,111,603,127,0   Deposits
793,111,867,125,Withdrawals
1037,111,1115,125,Nert accrual
61,129,109,143,Balance
141,129,209,143,5120267.09
269,143,295,155,otal
355,143,387,155,Tloday
759,143,785,155,otal
845,143,877,155,Today
515,151,547,163,Active
59,165,113,179,"512267,09"
157,165,209,179,627667.09
267,153,333,173,52234.00
355,155,411,173,5234.00
515,165,579,181,58234.00 
757,153,823,173,52234.00
843,153,901,173,5234.00
634,172,666,196,Je
1003,175,1045,187,Anount
1105,173,1159,193,127832
1003,187,1061,205,5234.00
1101,191,1163,205,Next accrual
83,195,113,209,"60,0d"
179,195,211,209,S0.00
515,197,569,211,Completed 
306,206,356,232,iNi
513,209,587,229,512234.00
60,227,109,245,Pending
161,231,209,245,"5647,00"
27,273,115,285,Dashboard menu
250,287,452,315,Financial management
740,288,856,312,Transactions
75,315,145,329,Investment
251,339,329,355,Investment
351,339,429,355,WMithdrawal
451,339,555,355,Active deposits
743,339,805,355,Accruals
825,339,911,355,Withdrawals
933,339,995,355,Deposits
33,351,51,377,0
77,357,141,371,Partnership
75,397,131,411,Lve siats
390,397,582,425,Investment proposals
759,399,789,413,State
869,399,923,413,Date Irom
969,399,1011,413,Date by
1069,399,1105,413,Wallet
781,423,813,435,Acie
877,423,923,435,01/01/18
977,423,1023,435,05/05/18
1091,421,1167,435,Advanced cash
26,432,54,460,28
75,439,111,453,News
299,438,370,464,
449,441,523,461,
605,441,665,461,
768,448,837,464,Amount from
861,449,915,463,Amount to
318,462,358,490,1%
458,462,518,488,1.5%
614,462,656,488,2%
861,471,887,485,IDJO
1025,471,1065,485,Reset
1133,471,1167,485,Filter
26,474,56,504,3
77,481,125,495,Reviews
74,519,125,538,Settings
295,509,377,529,
437,511,537,529,
619,509,649,529,VIp
761,519,787,531,Date
853,519,883,531,Stale
929,517,991,531,Transaction
1035,519,1079,531,Amount
1131,517,1195,531,Wallet / Into
306,530,366,556,2.4%
456,530,518,556,2.8%
604,530,664,556,3.30
759,543,805,557,21/12/1 (
761,557,803,569,"17.40,51"
929,553,967,565,Accnual
1041,551,1085,565,1905 05
27,567,123,581,Corporate website
438,576,536,600,Conditions
759,575,805,591,21/12/17
929,585,969,599,Accmual
1041,585,1083,599,1555 85
761,591,803,603,17.40.51
75,597,113,611,Home
759,609,805,623,21/12/17
761,623,799,637,"17.40,5"
929,619,969,631,Accnual
1041,619,1083,633,4865.85
75,627,149,643,For Investors
289,627,353,641,Daily income
445,627,475,641,3.390
517,627,597,641,Withdrawwal rules
633,627,703,641,On weekdays
289,649,363,663,Deposit periad
433,649,475,663,10 days
517,649,609,661,Manual Wlhdrawal
681,649,703,661,24n
759,643,805,657,21/12/17
929,653,967,665,Accnual
1041,653,1083,665,1585.85
75,659,169,675,Amflate program
761,657,803,671,17-40.51
289,671,393,683,Return on investmeni
439,671,475,683,7 days
517,671,611,683,MiniMal withdrawval
673,671,705,683,"55,00"
759,677,805,691,21/12/17
929,685,967,699,Accnual
1042,688,1080,696,430j65
77,689,129,705,Contacts
289,691,329,705,Deposit
339,693,389,705,payments
443,691,475,705,100%
517,691,607,705,Malnlmum deposit
657,691,705,705,83500.00
761,691,803,705,"17.40,51"
289,713,379,727,Accruals schedule
447,713,473,727,24n7
517,713,605,727,Maximum Ceposii
657,713,705,727,85000.00
759,711,805,725,21/12/17
761,725,803,737,17.40.51
929,719,967,733,Accmual
1041,719,1083,733,1585 85
759,743,805,759,21/12/17
441,750,528,778,Investing
761,757,799,771,"17.40,5"
929,753,969,765,Accnual
1041,753,1083,767,1865 85
759,777,805,791,21/12/17
929,787,967,799,Accnual
1041,787,1085,799,1585.85
269,795,355,807,Account balance
761,791,803,805,17.40.51
311,817,341,831,P123;
395,817,455,831,"8698235,70"
539,817,583,831,Wallet id
621,817,651,831,"80,00"
759,811,805,825,21/12/17
929,819,965,833,Accrual
1039,819,1085,833,4565 85
761,825,803,839,"17.40,51"
759,845,805,859,21/12/17
311,857,353,871,Walet id
395,857,425,871,"S0,00"
539,857,583,871,Wallet Id
621,857,651,871,"60,0o"
761,859,803,871,17.40.51
929,853,969,867,Accmual
1041,853,1085,867,1585.85
497,877,629,889,You mu3t entet VOUI walet jD
955,887,1107,901,Amount Ior Ihe selected periou:
1117,887,1193,901,453485298.00
271,901,337,915,Your deposit
413,903,481,915,Daily income
501,903,581,915,10 days income
593,903,653,915,Net income
1063,921,1107,933,Amount
1125,919,1191,933,3E412980
311,929,353,943,5000.00
421,925,485,945,S665.00
507,925,581,945,S6650.00
601,925,673,945,S1650.00
