xmin,ymin,xmax,ymax,txt
5,14,124,38,"Cryptos:   21,766"
147,14,270,39,Exchanges:   524
295,15,515,35,"Market Cap:   S839,560,367,823"
539,15,709,35,"24h Vol:   S62,172,547,811"
736,15,987,35,Dominance:  BTC: 38.3% ETH: 17.9%
1546,14,1612,38,English
1659,15,1697,35,USD
54,82,158,106,Cryptobase
221,83,269,103,Menu
299,83,359,103,Market
393,83,459,103,Wallets
503,83,553,103,Trade
599,85,639,103,Earn
1102,82,1274,106,Q  Search or jump to
79,149,145,169,Wallets
1369,149,1539,169,Account Information
10,158,42,190,88
116,200,186,224,Bitcoin
301,201,361,221,+1.20%
434,200,530,224,Ethereum
621,201,679,221,-0.47%
752,200,852,224,Avalanche
933,201,995,221,+3.22%
1070,200,1148,224,Binance
1251,201,1313,221,+0.03%
1388,206,1480,230,Account
1596,204,1694,228,Disconnect
117,227,199,245,BTC/USDT
435,227,517,247,ETHIUSDT
754,229,842,245,AVAXIUSDT
1071,229,1115,245,BUSD
1434,254,1634,280,OxZ1CZgg45ZpOR_976F
118,264,188,296,11.56
434,264,524,296,203.15
750,261,851,299,"1,125.15"
1070,264,1146,296,14.49
1437,283,1513,299,MetaMask
116,302,214,326,"S221,647.97"
434,302,532,326,"S263,333.19"
752,302,844,326,"S19,509.50"
1069,303,1153,323,"S3,942.54"
1387,323,1519,343,Slippage tolerance
79,365,141,385,Market
817,362,916,389,Operations
1403,359,1445,379,1.5%
1475,359,1517,379,2.0%
1543,359,1587,379,2.5%
1651,359,1693,379,5 %
146,415,230,435,Ethereum
691,427,775,447,Ethereum
840,418,962,444,Withdrawal
147,437,179,457,ETH
1386,452,1606,476,Recent transactions
1631,453,1693,473,View all
99,481,207,497,Ethereum Price
854,478,921,497,Currency
97,509,231,545,"S1,343.28"
403,515,507,533,"Low: $1,258.71"
610,512,766,536,"High: $1,353.29   24h"
886,500,1030,530,Bitcoin (BTC)
1431,513,1517,533,Avalanche
1603,511,1703,531,322.10 AVAX
1431,535,1461,555,Buy
1617,535,1703,555,Today; 12.30
117,549,163,567,1.94%
855,553,913,569,Amount
1257,565,1293,585,MAX
852,574,920,600,0.003
1431,577,1513,597,Ethereum
1619,577,1701,597,10.75 ETH
283,601,371,621,Fully Diluted
652,601,731,621,Circulating
1431,599,1461,619,Sell
1592,598,1703,619,Yesterday; 19.51
99,625,151,641,Market
285,625,337,641,Market
469,621,557,641,Volume 24h
649,621,704,645,Supply
841,635,901,651,Address
1431,641,1489,661,Solana
1606,638,1704,662,210.191 SOL
96,647,226,671,"S157,479,048.41"
282,648,408,672,"S180,133,238.41"
466,648,594,672,"S18,994,982.56"
650,648,778,672,"S122,492,189.51"
1613,663,1635,681,21 =
1665,663,1703,681,01.15
117,677,167,697,0.46%
301,677,345,697,2.15%
487,679,535,697,0.28%
853,673,1127,693,OxZ1C76S6ECTab88b0e21Gs976F
146,764,230,784,Ethereum
1386,756,1482,782,Rewards
145,787,179,807,ETH
837,766,946,799,Exchange
1229,781,1289,801,Market
1389,787,1615,805,Complete tasks and receive gifts
839,797,959,817,"1ETH = S1,301,.28"
107,835,151,855,Price
169,835,229,855,Market
281,835,393,855,Candle Chart
473,835,497,855,ID
519,835,687,855,IW   IM   3M   6M
703,835,773,855,1Y   All
1423,833,1679,853,Invite a friend using you referral code
932,842,1007,872,Floating
1181,847,1229,867,Fixed
1422,854,1526,878,+10.00 USDT
101,895,135,909,"1,350"
1425,903,1551,921,Get your first coin
281,913,365,931,09/29/2022
509,915,573,931,08.34 PiA
857,919,921,937,You send
1247,935,1281,953,ETH
1422,926,1688,950,+50% Bonus to your next deposit
101,947,135,961,"1,340"
304,950,424,974,"Price: S1,329.51"
854,944,922,968,0.003
1420,967,1542,992,Verify your email;
304,980,430,1004,Vol 24h: S18.34B
101,997,135,1011,"1,330"
857,993,939,1011,You receive
1422,992,1682,1018,Upload an NFT as your profile pic
1247,1009,1281,1027,BTC
854,1018,950,1044,0.00020
101,1049,135,1063,"1,320"
1402,1050,1473,1070,2rewards
839,1067,931,1085,ETH Address
1401,1071,1487,1089,left to claim
1559,1059,1679,1079,Claim rewards
105,1079,135,1093,"1,313"
103,1099,135,1115,"1,310"
852,1106,1152,1130,124DsQ7656EC7ab2148JiDOO12KDot
101,1149,135,1165,"1,300"
169,1173,227,1187,T0 00 AM
299,1171,355,1187,14.00 PM
429,1173,485,1187,716.00 PM
559,1173,615,1187,718 00 PM
691,1173,749,1187,20.00 PMA
1174,1168,1302,1194,Start exchange
659,425,691,450,Buy [
149,620,179,644,Cap
335,622,365,644,Cap
1633,662,1663,684,sep;
1432,665,1460,685,Buy
227,832,263,858,Cap
