xmin,ymin,xmax,ymax,txt
415,9,437,21,Kil
181,19,293,39,Online Banking
437,29,573,43,Iog 0nf 09/11/2010 09128
585,28,809,43,Ljst Unsuccessful lo? cn: 03/102010 13132
825,27,867,41,Log Oft
13,65,89,79,My Accounts
129,65,201,79,Pavments &
245,65,301,79,Standing
573,65,625,79,Account
669,65,735,79,Mv Details
769,65,801,79,Help
813,65,861,79,Contact
341,71,421,85,plrect Debits
453,71,529,85,Credit Cards
17,77,95,91,Transactions
135,77,195,91,Transfers
251,77,295,91,Orders
573,77,625,91,Services
681,77,733,91,Settings
11,112,85,127,Mv accounts
545,125,575,139,Eant
607,122,709,139,Hlouth thALL
791,139,841,153,OFFERS
11,143,119,157,vieny transactions
176,146,302,170,My accounts
757,155,793,169,Olfer ?
11,175,119,191,Manaqe overdraft
757,169,799,183,tailored
757,183,797,197,for You
185,190,336,214,Banking & Savings
513,195,699,209,Add amoyeqrrenemaAnDAuLt
11,206,95,224,vierv charqes
179,223,237,237,Accounts
395,223,443,237,current
473,223,583,237,Available   Actions
23,241,93,253,Documents
393,239,443,253,Balance
481,239,531,251,Balance
743,229,855,265,Apply Online
181,265,231,279,esaver
179,281,289,295,09.01-26 12745678
375,281,443,297,"10,+52.00"
463,279,623,297,"10,+52.00 |Take me to -"
755,275,855,291,Curtent Accqunts
755,295,853,309,Upgtade Cu(ept
754,310,803,327,Account
29,319,139,335,QUICK TRANSFER
179,319,207,333,LSA
179,335,289,349,09-01-27 23456789
381,337,443,351,"2,Suu.U0"
509,335,593,349,Ju (Toke rc
755,331,803,345,Savings
21,351,95,365,Tranafer fram
755,349,783,363,LAs
179,373,271,389,Bankaccount
755,369,793,383,Loans
47,391,117,403,Amount (€)-
179,391,289,403,09-01-26 01284567
369,389,443,405,"E 1,725.00"
459,387,609,405,"E 1,725.00 |Take me to"
755,385,829,401,Credit Cards
755,405,819,419,Hottanes
187,427,289,443,Credit cards
513,429,697,441,Alhqeiqnnui44Quu
753,423,815,437,lniaice
754,440,869,458,Order IraxelYoney
179,455,237,469,Accunts
409,455,583,469,Current  Credic |imit Actions
17,465,97,479,CONTACLUS
407,473,457,485,Halunce
179,497,255,511,Crullitcard
413,28,435,41,Lt
483,337,511,347,SOU
595,333,617,346,J0.
