xmin,ymin,xmax,ymax,txt
1265,24,1339,44,Emre Kaya
71,39,119,55,Aurora
296,34,520,58,"Welcome Back, Emre Kaya"
629,37,737,55,Search anything
1263,45,1371,59,Premlum Account
353,103,425,121,BTCIUSDT
541,103,613,121,ETHIUSDT
731,105,801,121,XRPIUSDT
917,103,1001,121,DOGEIUSDT
72,111,158,131,Dashboard
1121,119,1193,137,BTCIUSDT
1339,121,1365,135,Sell
323,145,399,161,"540,560.09"
411,145,457,161,"-1,23%"
511,145,575,161,"53,059.96"
595,145,645,161,"+0,93%"
699,145,761,161,50.71630
779,145,833,161,"-12,27%"
885,143,947,161,S0.14180
969,143,1021,161,"+8,46%"
1211,177,1245,193,Limit
73,183,125,201,Wallet
320,232,454,256,Portfolio Status
785,237,821,253,Hour
843,237,885,253,Week
905,237,957,253,Mounth
979,237,1011,253,Year
1193,233,1261,249,"40,560.09"
73,255,127,273,Orders
663,275,721,289,"S5,538.17"
323,293,371,309,"56,500"
663,297,703,311,+6.24%
1181,289,1273,305,Amount (BTC)
71,325,175,345,Identification
323,329,371,345,"56,000"
321,363,371,381,"85,500"
1101,361,1127,375,9225
1175,361,1205,375,9050
1253,361,1279,375,0075
1325,361,1359,375,08100
72,398,137,419,Security
321,399,371,417,"85,000"
1185,403,1269,421,Total (USDT)
323,437,371,453,"54,500"
72,470,138,494,Settings
323,473,371,489,"54,000"
401,501,445,517,12 Apr
491,501,537,517,13 Apr
581,501,627,517,14 Apr
669,499,717,517,15 Apr
761,501,805,517,16 Apr
851,501,895,517,17 Apr
941,501,985,517,18 Apr
1125,515,1259,535,Balance Details
1313,571,1355,589,USDT
1373,571,1433,589,"2,325.96"
321,583,435,603,Market Trend
1315,605,1345,621,BTC
1385,605,1433,621,"0,3730"
345,625,385,639,Name
539,625,601,639,Last Price
693,623,767,642,24h Change
831,625,867,639,Chart
1313,635,1345,653,ETH
1385,637,1433,653,"0,2924"
377,673,467,693,BTC   Bitcoin
539,675,621,693,"S40,530.09"
693,677,741,693,"-1,23%"
940,676,981,694,Trade
1315,669,1345,685,XRP
1387,669,1433,685,"609,35"
1127,725,1243,741,Account Balance:
1323,725,1433,741,Estimated Value:
377,737,483,757,ETH Ethereum
539,739,609,757,"S3,059.96"
693,741,747,757,"+0,89%"
941,741,981,757,Trade
1124,752,1220,776,"0,13821BTC"
1320,752,1404,776,"S5,538.17"
377,801,493,821,USDT TetherUS
541,805,607,821,S1.00000
699,805,741,821,"0,12%"
941,805,981,821,Trade
107,819,133,833,out
1283,120,1307,136,Buy
73,812,103,838,Log
