xmin,ymin,xmax,ymax,txt
703,9,765,21,Your Securlty
165,19,285,31,Our Products and Servlces
577,19,641,33,Cookle Pollcy
673,17,785,33,Our Onthefor Bushess 0
720,28,765,41,euurntt
7,57,85,73,Mr B. Abullae
700,63,743,79,Settings
755,65,791,79,Lcg off
19,73,77,87,Last JEsedon[
85,71,183,83,Decembe 2i21M4044
6,96,105,116,Support Services
507,105,571,119,Your accounts
603,105,637,119,Admin
665,105,737,119,Help & Support
60,158,88,166,Aaku
98,158,136,166,Qucaor
221,169,479,183,Itsnow easicrand faster toaddanewpayee Statttoday>
227,215,357,231,BUSINESSACCOUNT
367,213,493,231,77-00-77   22003322
623,215,727,231,View statement
29,237,169,251,OUR PRODUCTS AND SERVICES
223,245,429,281,"E19,434.95 Balance"
623,262,731,280,Make a payment
81,289,117,303,LOANS
227,305,449,325,"E20,434.95  Avallable funds including"
475,305,579,323,"E1,000 overdraft"
621,307,725,325,Make atransfer
69,323,129,337,OVERDRAFT
41,357,159,369,crEDM & chARGECaRDS
627,357,713,373,More actions
61,389,137,403,ASSET FINANCE
57,423,141,437,INVOICE FINANCE
226,430,486,454,BUSINESS SAVINGS  77-11-44  00661188
623,435,727,451,View statement
77,457,121,471,SAVINGS
49,489,149,503,BUSINESS ACCOUNTS
223,465,411,503,"E1,010.00 Balance"
623,483,725,499,Make a transfer
49,523,151,537,PAYMENT SOLUTIONS
627,531,713,547,More actions
37,557,161,569,INTERNATIONAL SERVICES
444,309,480,322,'yoUr >
