xmin,ymin,xmax,ymax,txt
247,19,387,37,Borderless money
1045,19,1123,35,Mike Matter
25,75,75,91,Activity
259,71,345,85,adda cuongy
379,73,481,85,Oider a dobiieard
25,107,139,123,Borderless noncy
23,141,185,157,Invitc fricnds & carn Lioo
245,141,435,155,curremcies Witm Bark DliAiLS
23,173,93,189,Recipients
331,193,419,209,L00o.00 GBP
22,204,79,223,Settings
331,213,443,227,Groa: Bfintn Pouno:
331,281,413,299,1234.56 EUR
331,305,359,317,Euto
331,375,407,391,903.56 USD
793,375,823,389,1007
331,395,445,409,Unted Stee: Dollje>
591,450,677,465,Jouiend 6r860 4
247,473,361,487,othcR CurrenciES
592,464,684,488,1 0o0.00
773,459,809,479,GBP
590,509,667,527,Racipltnt 9-t
773,521,809,539,EUR
331,531,397,547,34.12 CAD
592,526,678,550,1 094.42
331,551,423,567,Ctnaun Dollars
613,585,791,605,Fixed exchange rate: 1.0999
661,613,753,629,"Fo  4,98 GBP"
331,623,395,639,"0,00 HKD"
331,645,363,659,Hong
393,643,435,657,Dollt
625,641,789,659,You save Up [0 35.38 GBP
363,642,393,658,Konq
