xmin,ymin,xmax,ymax,txt
69,37,139,55,Agrobank
177,26,304,54,"Hello, John"
445,33,489,47,Search
55,105,123,119,Dashboard
861,105,963,121,CREDIT CARD
251,119,383,135,Easy Banking for all
53,145,133,159,Transactions
203,162,493,214,Enjoy Amazing Interest On Savings
859,173,1051,193,0123 4567 8912 3456
52,184,105,202,Account
937,199,981,217,09/15
53,225,117,241,My Wallet
861,223,931,237,JOHN DOE
217,239,299,257,Check Offers
53,267,123,281,Investment
849,283,943,299,Transactions
1019,289,1069,301,See More
53,307,107,321,Archives
898,322,947,339,Sammy
899,341,947,355,07:52AM
1005,341,1063,353,"#27,643.00"
53,347,105,363,Settings
193,373,245,388,Balance
355,373,433,388,Avg. Income
517,373,569,388,Savings
677,373,771,388,Avg. Expenses
899,381,951,397,Ayodele
899,399,947,413,06:32AM
1005,399,1063,413,"#20,743.00"
193,407,273,423,"#279,993.00"
353,407,427,421,"#88,993.00"
515,407,589,421,"#20,000.00"
677,407,743,421,"#9,993.00"
899,439,969,455,Stephen M.
899,457,947,471,06:OOAM
1005,457,1063,471,"#33,643.00"
192,478,259,499,Finances
372,481,402,493,Income
418,481,461,493,Expenses
469,481,507,493,Monthly
563,481,701,497,Expenses Overview
901,497,947,513,Allyson
899,515,947,529,04:19AM
1005,515,1063,529,"#45,000.00"
727,523,765,537,TV sub
727,547,755,559,Data
727,569,755,581,Food
849,577,939,593,Investments
1019,583,1069,595,See More
726,590,777,608,Shopping
53,618,140,634,Terms/Policies
726,614,779,630,Transport
897,619,969,633,Real-Estate
997,619,1061,633,"#257,643.00"
587,647,617,661,Daily
655,647,695,659,Weekly
731,647,775,661,Monthly
53,661,99,677,Logout
579,665,623,681,#1500
651,667,699,683,"#8,000"
725,669,781,685,"#11,000"
897,667,965,683,Agriculture
997,667,1061,681,"#200,743.00"
