xmin,ymin,xmax,ymax,txt
73,13,115,33,SBD
493,17,565,31,Transaction
584,16,635,34,Reports
655,17,717,31,Reference
737,17,769,31,Print
786,16,825,33,Query
1209,17,1279,31,John Smith
158,90,270,116,Dashboard
853,185,921,205,Balance
975,233,1001,245,Total
952,242,1030,268,8.950$
187,299,251,315,SecureLab
353,301,393,315,Netflix
521,299,597,315,Thomas Fre...
689,301,755,315,Ato Ramen...
893,305,939,317,Expenses
1070,308,1108,316,Incomes
185,315,259,335,+400.00$
351,315,419,335,-29.00$
519,315,583,335,+58.19$
687,315,749,335,-14.50$
893,317,945,333,900.00
1069,317,1127,333,8050.00
192,404,294,430,Your activity
677,413,735,427,Last week
893,505,1011,521,4528 **** **** 2599
893,523,939,535,EXP 06/22
948,524,984,532,CCV 052
953,579,1027,599,Visa Card
971,601,1009,615,Active
903,647,945,661,History
1043,647,1077,661,Block
