xmin,ymin,xmax,ymax,txt
88,34,192,58,Zollars
293,31,498,62,Welcome; Georgel
663,37,715,55,Search
1241,35,1365,55,Isobelle Cisneros
79,143,163,159,Dashboard
323,153,701,192,Make A Crypto Deposit With Us
79,197,127,213,Wallet
321,189,433,225,Securely
325,235,539,253,Get extra gifts for every deposit an
570,233,701,252,chance to earn extra 
77,249,119,267,Trade
323,255,369,269,Ioney
1213,285,1305,303,Your Balance
77,301,147,321,Statistics
335,291,438,317,Deposit Now
1186,313,1329,355,"1,230.08"
81,359,141,375,Account
1251,361,1287,381,USD
298,388,412,420,My assets
1017,391,1077,411,View all
1170,406,1204,414,ncoMe
1310,406,1352,414,CuicoM e
1165,419,1247,439,"S1,500.00"
1307,419,1389,439,"S1,000.50"
351,473,413,489,ETHIUSD
481,471,523,485,+1.10%
595,471,681,489,B   BTC/USD
747,471,789,485,-1.0590
887,473,959,489,LUNA/USD
1015,471,1057,485,42.10%
316,498,412,524,"0,00064"
451,501,521,521,"S1,000.00"
584,498,696,524,"0,0ooo50"
721,501,789,521,"51,250.00"
852,498,940,524,"1,50064"
999,503,1057,521,Sz00.00
1125,517,1201,529,Avbilablu Incoma
1123,533,1205,553,"S1,500.00"
1294,525,1369,545,Withdraw
54,608,210,632,Discover The Best
62,634,202,658,Cryptocurrency
1205,643,1233,659,Buy
1287,641,1313,657,Sell
314,661,446,691,Total assets
955,673,1021,689,Last week
81,688,152,712,Discover
534,702,556,710,Grach
1127,705,1155,719,Coin
317,739,377,753,"F2,000,00"
1157,745,1223,761,Bitcoin BTC
905,771,965,787,"S1250,00"
317,795,375,809,SL.500.00
917,793,957,807,41.1520
1125,791,1173,805,Amount
75,803,140,829,Support
1135,829,1197,845,"$5,000.00"
1329,831,1355,845,USD
317,851,375,865,"SL,OOO.OO"
75,856,140,882,Settings
1125,891,1159,905,Total:
1305,889,1389,905,"0,OOOOSOBTC"
317,907,367,921,"F500,00"
1220,931,1290,956,Buy BTC
389,963,417,977,Mon
499,963,525,977,Sun
609,963,631,977,Tue
715,963,741,977,Wedi
925,963,947,977,Sat
1032,964,1054,972,Tauc
109,971,137,985,out
534,236,574,249,Iget a 
79,967,107,988,Log
