xmin,ymin,xmax,ymax,txt
534,74,922,151,Dashboard
1601,99,1716,137,Search
162,214,368,264,Jeremy Toe
165,261,325,290,Administrator
535,281,753,342,My cards
2330,284,2519,336,Analytics
1580,315,1628,363,2
1976,316,2020,362,3
2604,361,2682,398,45%
124,387,255,436,Activity
369,398,387,421,5
1544,435,1650,466,Income
1936,433,2146,476,Down Payment
149,507,247,540,Home
688,462,870,515,Obisoft
1541,479,1781,539,"S68.657,00"
1931,479,2175,539,"SIO.OO0,00"
148,615,300,653,Schedule
583,657,882,685,**** **** ****
883,652,1002,705,7865
148,729,283,768,Courses
605,735,826,766,Jeremy Toe   12/24
2360,767,2431,805,21%
2653,767,2733,805,34%
148,841,264,878,Videos
1545,837,1685,874,Complete
1939,842,2109,871,New reviews
2377,849,2437,880,Left
2525,851,2676,884,In progress
1542,887,1769,944,"S18.657,00"
1933,887,2142,944,"S6.667,00"
2379,902,2453,931,Done
151,953,293,990,Analitics
582,968,789,1006,Your Balance
579,1023,839,1078,"S120.456,00"
975,1033,1093,1073,"16,60%"
1167,1033,1290,1073,"10,30%"
69,1070,93,1096,0
146,1060,286,1109,Settings
1494,1087,1825,1154,Total Activity
581,1149,730,1190,Currency
923,1149,1031,1190,Status
2395,1166,2462,1192,15.0k
582,1210,740,1247,USD/UAH
928,1210,1033,1247,Active
1825,1217,1890,1246,300k
1532,1268,1732,1305,Total income
2482,1271,2538,1300,6.3k
1825,1307,1887,1335,250k
1528,1325,1751,1382,"S18.657,00"
846,1366,1075,1403,Add New Card
1825,1398,1890,1425,200k
2046,1391,2132,1452,
2439,1364,2505,1486,1
1534,1442,1768,1484,Weekly income
1823,1488,1883,1514,100k
1527,1495,1752,1556,"S18.657,00"
532,1533,877,1585,Quick Transfer
1825,1577,1861,1604,Ok
2216,1642,2278,1668,June
2648,1640,2738,1676,August
675,1664,734,1697,Mm
147,1749,283,1797,Support
1495,1763,1870,1823,Recent transfer
2316,1769,2411,1811,Today
2518,1774,2596,1802,Week
2708,1774,2792,1802,Month
533,1795,744,1832,Card number
213,1862,282,1899,Out
562,1876,876,1913,4143 4567 6788 7689
1194,1876,1285,1913,VISA
1636,1873,2041,1922,Make points on the places
2662,1880,2804,1917,Complete
2124,1907,2387,1946,Payment for design
1635,1932,1829,1961,Antonia Petlera
2721,1935,2797,1968,12.34
1999,1639,2048,1675,May
2444,1640,2492,1674,July
151,1859,211,1906,Log
