xmin,ymin,xmax,ymax,txt
369,53,431,69,Invoices
887,53,1041,71,Outstanding revenue
368,86,474,118,"$12,095"
542,86,656,118,"$33,363"
722,86,820,118,"$4,500"
1142,82,1220,108,$21.3k
1292,84,1344,108,Search
389,131,453,147,Overdue
533,129,663,149,Total outstanding
741,127,799,147,In draft
885,127,1009,147,"$12,095 overdue"
133,219,251,239,Welcome back;
142,248,240,274,Julie Bell 
367,248,589,288,Total profit Feb 2020
762,250,887,290,Expenses
368,330,448,356,$22.3k
838,360,894,384,Travel
1051,363,1141,383,Education
1265,363,1293,383,Ad
389,381,503,399,$54.3k income
141,395,226,415,Dashboard
389,411,511,431,$32.1k expenses
141,439,197,457,Clients
786,438,866,462,Pete's fly
999,439,1091,459,Owlschool
1213,439,1297,459,Facebook
786,463,859,479,"2 Feb, 2020"
1001,463,1069,479,"1 Feb, 2020"
1213,463,1283,479,"1 Feb, 2020"
141,485,205,501,Invoices
139,523,220,549,Estimates
371,529,397,541,Fri 1
635,527,679,543,Mo 30
894,514,934,538,$20
1108,514,1148,538,$30
1320,514,1360,538,$20
141,571,209,591,My team
368,626,600,658,Invoices recently created
1064,686,1244,716,Work Anywhere
629,729,689,747,#00106
837,729,899,747,#00105
1062,718,1254,744,with the Invoicer
629,755,713,775,Mindtickle
839,757,929,775,Cleancloud
1063,747,1207,783,Mobile Apps
629,781,701,797,"2 Feb, 2020"
839,781,909,797,"1 Feb, 2020"
411,817,521,837,Upload invoice
607,845,663,861,Viewed
687,841,745,861,"$3,500"
817,845,855,861,Sent
897,841,955,861,"$2,000"
140,878,210,902,Settings 
