xmin,ymin,xmax,ymax,txt
140,32,280,58,Dashboard
707,39,757,53,Search
141,65,227,79,News Factory
993,115,1053,135,Details
189,135,267,155,EUR/USD
389,135,469,155,GBP/USD
591,135,667,155,USD/JPY
791,135,873,155,USD/CAD
201,259,257,275,1.19255
403,259,459,273,1.38890
603,259,659,273,110.636
805,259,861,275,1.23064
210,279,249,291,-0.04%
411,279,445,291,0.01%
611,279,651,291,-0.09%
813,279,849,291,0.12%
993,353,1037,367,Actual
1179,353,1211,367,1.7%
169,375,217,391,News
835,373,893,387,Show All
993,387,1051,401,Forecast
1179,387,1211,401,1.3%
183,425,257,439,Date / Time
351,425,411,439,Currency
475,425,521,439,Impact
583,425,629,439,Details
993,421,1049,435,Previous
1179,421,1211,435,1.4%
181,462,251,475,"Mon, Jun 28"
351,469,377,483,JPY
583,469,725,483,BOJ Summary of Opinions
829,467,881,481,See More
181,477,229,491,6:50am
991,473,1058,498,History
181,511,251,523,"Mon, Jun 28"
351,517,377,529,EUR
582,516,729,530,German Import Prices m/m
827,517,877,529,See More
181,525,227,539,1:00 am
1008,531,1042,540,Actual
1075,531,1123,543,Forecast
1146,531,1192,540,Previous
1007,547,1043,563,1.4%
1075,547,1111,563,1.0%
1153,547,1187,563,1.8%
181,555,247,569,"Tue, Jun 29"
351,563,377,575,GBP
583,563,751,577,Net Lending to Individuals m/m
827,563,879,575,See More
181,572,222,580,6:50am
1008,578,1036,586,Graph
1135,577,1197,589,"May 28, 2021"
181,603,247,617,"Tue, Jun 29"
351,609,377,623,USD
583,609,721,623,CB Consumer Confidence
827,609,879,623,See More
181,619,227,631,9:00pm
1007,627,1043,639,Actual
1074,626,1123,640,Forecast
1145,627,1195,641,Previous
181,649,251,661,"Wed, Jun 30"
1007,645,1043,661,1.8%
1075,645,1113,661,0.9%
1153,645,1187,661,1.7%
351,655,379,669,AUD
582,654,725,669,Private Sector Credit m/m
827,655,879,669,See More
181,663,229,677,9:50 am
1007,672,1035,687,Graph
1135,674,1196,682,"Apr 29, 2071"
1007,725,1043,737,Actual
1076,726,1120,734,Forecast
1146,726,1192,734,Previous
1007,743,1043,759,1.7%
1075,743,1111,759,1.2%
1153,743,1187,759,1.9%
1007,771,1037,783,Graph
1137,771,1195,783,"Mar 30,2021"
167,775,237,795,Position
571,777,647,795,Sessions
169,817,231,831,EUR/USD
257,815,333,827,46% 234 Iraders
413,815,489,827,271 Traders 54%
1007,823,1045,835,Actual
1075,823,1123,835,Forecast
1145,823,1195,835,Previous
1007,839,1043,855,1.9%
1075,841,1107,857,1.1%
1151,839,1189,855,0.6%
169,857,231,871,GBP/USD
257,855,333,867,48% 164 Traders
413,855,491,867,177 Traders 52%
565,861,661,873,Sydney 4:01 pm local
1008,870,1034,878,Graph
1137,869,1195,881,"Feb 26, 2021"
169,897,227,911,USD/JPY
257,895,333,907,35% 60 Traders
413,895,491,907,111 Traders 65%
650,902,740,910,Tokyo 3:02 pm local
1008,922,1042,930,Actual
1076,922,1120,930,Forecast
1146,922,1192,930,Previous
169,937,231,951,USD/CHF
257,935,327,947,50% 57 Traders
419,935,489,947,56 Traders 50%
734,942,826,950,London 7:03 pm local
1007,935,1045,953,0.6%
1075,937,1111,953,1.0%
1151,937,1189,953,0.5%
1008,968,1036,976,Graph
1139,965,1197,977,"Jan 29, 2021"
169,977,233,991,USD/CAD
257,975,333,987,62% 103 Traders
419,973,491,987,63 Traders 38%
789,981,895,993,Nev York 2:03 am local
