xmin,ymin,xmax,ymax,txt
121,55,203,71,Dashboard
247,55,343,71,Investements
385,55,477,71,Transactions
527,55,575,71,Wallet
785,51,833,65,Search
1235,51,1325,67,Carla Rosser
118,138,220,166,My Cards
565,153,671,167,TRANSACTIONS
739,153,829,169,TOTAL SPENT
901,153,1023,167,TOTAL CASHBACK
1096,142,1232,168,Transactions
1321,145,1373,163,View All
441,161,473,175,Last
441,177,497,195,30 days
739,179,809,195,"513,546.12"
899,177,955,195,5343.23
1143,209,1251,229,Apple Airpods
1327,209,1383,227,S231.12
142,228,166,236,HEVE
281,227,321,239,NUMBER
1105,219,1125,241,9P
141,241,221,257,Carla Rosser
343,243,371,257,3432
1143,237,1203,251,Computer
140,286,246,310,"S18,654,00"
447,275,572,304,Money Flow
643,285,691,299,Income
729,285,787,299,Expenses
851,285,1005,301,"Nov 29, 2021 - Dec % 2021"
1141,301,1227,319,IKEA Home
1327,301,1387,319,S134.83
143,313,187,325,BALANCE
1143,329,1209,343,Decoration
453,335,475,349,I5k
142,382,166,390,VEVE
281,381,321,393,NLMBER
141,397,221,411,Carla Rosser
343,397,371,411,9869
453,391,475,405,10k
689,395,725,409,"56,230"
1143,389,1263,409,Airplane Tickets
1327,387,1387,407,S345.67
1143,417,1173,431,Trips
140,440,238,466,"S12,913,00"
143,469,187,481,BALANCE
1141,479,1227,500,Cat's Food
1339,479,1389,499,523.18
1143,509,1185,521,Animal
204,512,305,531,Manage Cards
1143,569,1305,585,Binance Transactions
1333,567,1387,585,S82.00
124,588,224,614,Statistics
299,595,363,611,This Week
420,586,553,618,Send Money
759,587,877,613,Conversion
1142,594,1233,612,Cryptocurrency
441,647,595,665,3474 2789 2499 4322
655,651,683,663,VISA
890,644,960,668,"234,566|"
294,658,335,678,52312
294,678,353,696,Shopping
295,703,331,719,5734
551,705,615,725,"234,566"
885,701,962,728,10oo.o0/
1123,709,1177,723,ARTICLE
295,721,333,735,Home
1123,731,1221,749,How to reduce
295,745,349,761,5325.45
1123,751,1245,771,spending by 30%?
295,765,327,779,Fooa
339,765,375,779,Drinks
521,766,603,785,Send Money
761,765,933,783,"Rate: 1.24 (Jul 21, II:ISGMT)"
