xmin,ymin,xmax,ymax,txt
323,45,411,63,Toluwani Ojo
1263,45,1323,63,Upgrade
62,68,152,96,Seedling
255,127,337,141,Max Amount
713,127,799,141,Available Fund
888,128,1066,152,Financial Overview
255,144,480,170,AccessBank Savings Account
636,152,768,176,"N 125,860.90"
891,163,1187,211,"Lorom ipsum dolor, sit amet consectetur adipisicing elit. Vero quam ut doloribus iusto, iste consequatur recusandae esse pariatur maxime corrupti aliquam cum."
74,170,162,188,Dashboard
255,173,489,187,6877 4584 5689 7445 6798 7445 6798
267,233,347,247,Transfer Money
383,233,455,245,Link Accounts
919,233,963,247,Explore
75,243,167,259,Transactions
99,305,143,321,Cards
253,325,307,339,GT Bank
517,325,593,339,Union Bank
783,325,849,339,First Bank
1049,325,1127,339,Zenith Bank
1315,325,1369,339,GT Bank
253,345,321,359,69****4524
517,345,585,357,69****4524
783,345,851,357,69****4524
1049,345,1115,359,13****0904
1315,345,1377,357,34****1167
99,367,143,383,Offers
253,391,335,407,"N 59,504.34"
519,391,601,407,"N 45,504.34"
785,391,861,407,"N 30,104.34"
1049,391,1121,407,"N 11,700.94"
1315,391,1397,407,"N 20,004.34"
79,433,161,445,Investment
88,491,149,511,Settings
273,503,437,521,Latest Transactions
925,497,1075,517,Balance Statistics
272,563,315,581,Today
334,568,422,576,Balance Transfer
535,567,579,581,Savings
671,565,745,581,"N 39,904.12"
935,559,971,575,Daily
1071,561,1121,575,Weekly
1223,561,1279,575,Monthly
921,575,987,591,"N 2,500.94"
1064,575,1133,591,"N 17,500.94"
1219,575,1291,591,"N 70,700.94"
273,617,309,631,23:06
333,619,413,631,Leather Jacket
537,619,573,631,Clothes
671,617,743,633,"N 15,010.00"
921,631,997,647,Last Week
1188,645,1233,661,Savings
273,669,309,683,03:45
332,668,403,682,Lorem Ipsum
536,672,560,680,Food
671,669,749,683,"N 23,500.34"
1188,681,1225,693,Clothes
1188,718,1214,726,Food
273,721,303,735,12:16
333,721,417,733,Bisola Transfer
535,721,569,733,Utily
671,719,743,735,"N 9,600.00"
1188,751,1223,763,Utility
974,750,1070,774,"N15,010.00"
273,773,307,787,10:03
333,773,417,787,Apple Music Fee
538,774,608,782,Entertalnment
671,771,739,785,"N 30,114.5"
1188,785,1265,797,Entertalnment
273,825,307,837,13:34
331,825,439,837,Latest Transactions
537,823,573,835,Others
671,821,743,837,"N 6,945.00"
1188,819,1227,831,Others
785,865,827,877,see all
737,909,795,925,Explore
