xmin,ymin,xmax,ymax,txt
24,36,138,62,aggregator
258,32,388,58,Dashboard
1079,45,1127,61,Search
63,135,105,149,Home
291,147,311,173,$
1151,175,1241,191,Total amount
65,183,147,199,My accounts
273,206,389,230,"+512,120.00"
464,206,558,230,"S3,186.00"
654,206,752,230,"S4,222.00"
844,206,942,230,"S5,056.00"
1147,197,1319,237,"S5,320.00"
1379,211,1419,225,"5,4620"
61,229,119,243,Payment
277,239,355,251,Toial balance
467,239,535,253,Total saved
657,239,743,253,Total spending
847,239,923,253,Total income
289,263,327,277,"2,129"
477,263,515,277,"1,2296"
667,263,703,277,"1,01%6"
859,263,897,277,"4,12%0"
1151,257,1195,273,Status
1241,257,1305,273,Currency
65,279,121,293,Account
1151,279,1197,295,Active
1241,279,1341,297,USDIUS Dollar
65,327,139,341,Documents
261,351,319,365,Summary
339,351,385,365,Income
405,351,461,365,Outcome
865,351,891,365,24H
63,375,123,389,Analytics
1114,402,1180,426,citibank
1311,403,1353,423,VISA
261,421,295,435,S500
655,423,707,439,5120.50
261,461,295,475,5350
1114,470,1210,494,"S5,320.00"
261,499,295,515,5200
1118,506,1142,512,Eeeta
1150,506,1176,512,Mnn
1184,506,1210,512,tae
1217,505,1253,519,9034
269,539,295,553,S50
309,573,333,585,Jan
369,571,393,585,Feb
429,573,455,585,Mar
489,573,513,587,Apr
549,573,577,587,May
671,573,693,585,Jul
727,573,753,587,Aug
789,571,815,587,Sep
851,571,875,585,Oct
911,571,941,585,Now
975,571,1001,585,Dec
1209,583,1285,597,Add account
62,643,119,661,Settings
258,640,480,666,Recent transations
889,647,951,661,View more
1063,657,1165,685,Statistic
1333,665,1397,679,View more
63,692,163,710,Help & Support
315,711,349,725,IKEA
569,711,643,725,"Jan 16, 2020"
899,711,955,725,+5853.00
1322,723,1381,741,Shopping
59,741,129,755,Dark mode
1323,745,1389,761,1200.40S
317,763,379,781,Sport life
569,765,643,779,"Jan 16, 2020"
907,763,955,779,S153.00
1323,789,1355,803,Foou
1367,789,1405,803,Drinks
1321,807,1361,825,950s
316,816,379,833,Coursera
569,817,643,831,"Jan 16, 2020"
905,817,955,831,5223.00
1323,853,1383,867,ransbort
63,865,119,881,Sign out
317,871,351,887,Jysk
569,871,643,885,"Jan 16, 2020"
905,871,955,885,5853.00
1323,873,1361,889,8205
