xmin,ymin,xmax,ymax,txt
1243,15,1329,29,Manage Funds
1387,15,1457,29,My Account
1513,15,1583,31,@gmail com
1647,15,1753,29,Transaction History
1767,15,1803,29,DEMO
5,61,137,79,1x  Technical Analysis
187,71,255,83,Instruments
519,71,567,85,Charting
1219,71,1283,83,Order Book
5,107,71,127,E News
573,101,639,121,EURIUSD
672,98,738,122,30m   (p
1097,105,1123,119,Mid
1153,105,1185,119,Save
203,119,357,135,FAVORITES   FOREX   INDICES
369,121,401,135,MORE
1333,115,1479,131,Last Update: 19 mins ag0
1511,115,1569,129,EURIUSD
1667,117,1757,131,Non-Cumulative
586,142,754,166,"EUR/USD, 30, OANDA"
1149,151,1185,165,08400
5,159,111,173,MP   Market Pulse
1475,161,1519,175,Orders
1587,159,1645,175,Positions
263,171,327,187,EURIU SD
641,165,679,185,"1,0797"
703,165,743,181,107902
765,165,909,181,07906   -0.00032 (-0.033)
525,179,543,201,X
569,187,615,203,ALMA (9
721,187,781,201,3_1.0787
1149,191,1185,205,08200
263,193,291,209,1.07
351,195,377,209,1.07
9,207,61,223,Ap1   API
1539,203,1631,219,Open Positions
271,203,325,241,902
356,210,398,240,91
522,210,552,242,D
1149,233,1185,245,08000
1303,231,1339,245,Short
1832,230,1867,247,Long
1141,251,1183,263,1.07906
1231,245,1277,259,1.25000
263,255,327,271,AUDIUSD
33,275,105,289,Preferences
263,279,291,293,0.66
349,279,377,293,0.66
1149,273,1185,287,07800
1231,275,1277,291,1.22000
274,292,316,324,45
358,292,400,324,46
520,238,552,348,I
1141,313,1185,327,1.07600
1231,307,1277,321,1.19000
5,321,103,335,MT4   MetaTrader
263,339,327,355,GBPIUSD
1239,337,1277,353,16000
1141,353,1185,367,1.07400
263,363,291,377,1.22
351,363,377,377,1.22
527,357,547,379,6
1239,369,1277,383,13000
805,375,835,389,SELL
977,375,1003,389,BUY
33,387,113,403,Reset Layout
272,376,312,408,81
355,373,409,409,822
805,389,857,405,1.07902
909,381,961,397,0.00009
977,389,1029,405,1.07911
1141,393,1185,407,1.07200
1239,401,1277,415,10000
263,423,323,439,USDIJPY
1241,423,1283,437,07914
1141,433,1191,445,100.00oo
569,439,631,453,Aroon (14)
705,437,793,453,57.1429 0.0oCO
263,447,289,461,131.
351,447,373,461,131.
272,460,314,492,57
358,460,400,492,58
1141,465,1185,479,75.0000
1239,463,1277,477,04000
1141,499,1185,513,50.0ooo
1239,493,1277,509,01000
887,471,949,561,V
1141,531,1185,545,25.000o
1239,525,1277,539,98000
1309,547,1477,561,1.07840   H: 1.07949 L: 1.07837
1495,547,1539,561,1.07942
1645,547,1831,561,1.07840  H: 1.07949 L: 1.07837 €
1841,547,1875,561,07942
1239,555,1277,571,95000
189,571,289,585,Currency Heatmap
1149,565,1179,579,Oooo
1457,571,1479,585,1.0
1515,571,1537,585,0.5
1633,571,1655,585,0.5
1693,571,1715,585,1.0
1751,571,1773,585,1.5
747,587,777,601,12.00
937,587,969,601,04-00
1035,587,1065,601,12.00
323,611,351,625,USD
579,615,627,633,5y   Iy
637,615,659,629,6m
669,615,691,629,3m
703,617,727,629,Im
939,613,1031,631,16.39.29 (UTC)
1083,615,1105,631,log
1117,617,1149,629,auto
1835,607,1861,623,0 H
295,651,375,667,JPY (+0.6696) 
519,667,573,679,Accounts
1159,665,1197,679,Trades
1241,665,1279,679,Orders
1323,665,1375,679,Positions
1417,665,1461,679,Activity
295,683,375,699,NZD (+0.1496)
1169,693,1205,707,Ticket
1235,693,1277,707,Market
1293,693,1359,707,Units   Type
1379,693,1453,707,Margin (GBP)
1491,693,1535,707,TP   TS
1547,693,1577,707,Price
1591,693,1635,707,Current
1649,693,1717,707,Profit (GBP)
1733,693,1799,707,Profit (Pips)
1813,693,1865,707,Profit (%)
519,705,575,721,Primary
297,715,373,731,HKD (0.0096)
519,735,647,749,101-004-25266117-001
1093,735,1121,749,GBP
297,747,375,763,SGD (-0.0296)
10,758,145,777,Ready to trade with
519,759,547,773,NAV
1051,759,1123,773,"{100,00o.00"
33,777,121,793,real money?
295,779,375,795,AUD (-0.0396)
519,783,601,797,Unrealized PIL
1089,783,1123,797,{0.00
1461,793,1585,813,No Open Trades
297,811,375,827,EUR (-0.2996)
519,807,565,823,Balance
1051,807,1123,821,"{100,00o.00"
519,831,591,845,Realized PIL
1089,831,1123,845,{0.00
297,843,375,859,CHF (-0.3896)
519,855,599,869,Position Value
1089,855,1123,869,{0.00
295,875,375,891,GBP (-0.4196)
518,878,591,896,Margin Used
1089,879,1123,893,{0.00
21,891,135,907,Open Live Account
297,907,371,917,"Cad 5602,"
535,903,561,917,00e6
829,615,855,628,[0..
42,801,82,831,€ €
