xmin,ymin,xmax,ymax,txt
52,40,142,66,Grower
271,35,417,71,Overview
999,47,1065,63,Search 
26,170,146,194,88   Overview
256,168,450,194,This Year Growth
533,175,585,189,Income
623,173,689,189,Expences
801,173,899,189,Jan 23 - Jul 22
1008,190,1060,216,KPIs
261,225,289,239,25K
67,235,169,253,Performance
1009,257,1133,273,Current Customers
559,269,587,283,April
261,279,289,295,20K
1347,279,1373,291,63%
575,293,603,305,2022
621,293,675,305,"538,432.00"
1008,282,1106,314,"245,956"
66,298,135,317,Massage
575,311,603,325,2023
623,311,675,325,"545,567.00"
259,337,285,351,ISK
67,361,155,379,Campaigns
1009,363,1125,377,Active Customers
1347,383,1373,397,57%
259,391,287,407,10K
1008,388,1094,418,87.45%
65,419,147,439,Audience
1009,467,1093,483,Current MRR
67,483,137,501,Statistics
1347,489,1373,503,68%
1006,492,1124,524,S678.OOK
303,537,331,551,Jan
401,535,429,551,Feb
501,535,531,551,Mar
603,537,629,551,Apr
701,537,733,553,May
803,537,829,551,Jun
905,537,929,551,Jul
64,544,121,565,History
270,608,444,638,Recent Activity
855,611,913,629,Last 24h
1008,616,1116,646,Analytics
273,669,339,685,Customer
469,669,515,685,Status
627,669,721,685,Order Number
781,669,843,685,Retained
903,671,959,685,Amount
323,727,415,741,Robart Martin
487,727,583,741,New customer
625,727,707,741,#588482950
781,727,849,743,5 min ago
903,725,959,741,$456.00
1315,741,1373,757,Avg Sales
1027,757,1049,769,12%
1091,767,1175,809,82%
1314,784,1373,802,Distribute
321,807,417,823,Nobinat Suvla
486,806,557,826,Signed up
625,807,705,823,#958220467
781,807,855,825,10 min ago
907,807,959,823,5213.05
1101,811,1165,825,Total Sales
1219,809,1245,823,55%
1315,829,1361,843,Returns
64,834,125,860,Setting
1045,851,1067,863,15%
322,887,397,905,Marry Julia
487,889,583,903,New customer
625,889,707,903,#345820582
781,889,853,905,12 min ago
907,887,959,905,5123.00
93,901,121,917,out
57,896,89,920,Log
