xmin,ymin,xmax,ymax,txt
350,32,654,88,"£230,630.50"
23,95,121,111,Denis Kovalev
389,95,645,115,Total balance in base currency of GBP
353,155,419,171,Accounts
446,154,515,173,Summary
541,155,631,171,Transactions
352,240,650,272,Account analysis for the year
25,309,91,325,Accounts
23,361,65,377,Cards
749,387,821,401,27 June 2017
751,405,817,419,"£140,250.60"
23,413,124,431,Counterparties
22,464,81,485,Settings
21,517,77,537,Log out
383,569,405,583,Jan
455,569,477,581,Feb
525,569,549,583,Mar
597,569,619,583,Apr
667,569,693,583,May
739,569,761,583,Jun
810,569,832,583,Jul
881,569,905,583,Aug
953,569,975,583,Sep
1025,569,1047,583,Oct
1095,569,1119,581,Nov
1167,569,1189,583,Dec
359,627,409,643,Balance
588,626,647,644,Money in
813,627,881,643,Money out
358,650,546,680,"£30,342,830.80"
586,650,782,680,"+£42,530,210.40"
814,650,1006,680,"-£12,187,380.40"
