xmin,ymin,xmax,ymax,txt
88,24,156,52,Wally
670,32,704,40,Scarch
1186,120,1222,128,Incomc
277,119,413,139,Cards Overview
1035,116,1106,142,Activity
63,137,159,157,Dashboard
1186,142,1232,150,Oulcamno
318,170,382,178,Wapilanet
559,167,609,179,Account
673,167,697,179,3096
77,189,159,209,My Wallet
559,201,611,215,Services
1064,176,1200,208,"$12,264.78"
316,214,424,238,"$206,034.66"
559,237,625,249,Restaurant
75,243,181,263,Transactions
318,272,388,278,Atlinaet
559,271,595,285,Other
77,299,145,315,Invoices
1063,321,1231,333,Sun Von Tuc Wcd Tnu Fri  Sal
75,351,125,369,Cards
277,389,401,409,Quick transfer
528,388,626,412,Spendings
785,391,967,409,Transaction overview
1094,396,1158,404,Dotnloud Prport
74,402,148,426,Settings
807,443,851,455,Numbc
913,443,961,457,Analytics
1103,443,1145,455,Incam
1167,443,1211,457,Expcncc
339,451,419,465,Alexey Yarkin
356,468,390,474,~antii
535,471,593,483,Invcstncnt
639,471,683,483,"6,563.06"
691,471,727,483,10.C30
282,506,353,520,Recent Friend
427,507,477,521,Sce More
536,536,588,544,Restaurant
647,533,687,547,1732.19
697,535,727,547,"5,000"
1035,537,1081,551,"584,821"
1050,556,1082,562,d
342,596,414,604,Intcrt Amount
536,598,590,606,Insalment
637,597,727,611,"7,800.44 |$ IQODD"
353,627,403,647,"3,466"
536,662,578,670,Prantulv
619,661,677,673,"$21,006.32"
686,662,724,670,Jooono
283,694,349,707,Your Balance
427,695,477,709,"87,563.06"
337,735,423,747,TRANSFER Now
587,735,673,747,TRANSFER NOw
1013,737,1039,749,Wed
278,819,465,839,Previous Transactions
652,826,678,832,hak
859,827,911,847,"2,406"
862,856,926,864,loial Invoices
331,883,399,897,Ryan Cosling
440,884,494,892,Jern;
549,889,601,901,"+51,265.00"
680,892,718,898,compieled
440,896,482,904,01744
331,929,369,941,PayPal
440,930,494,938,1gu479 7r
549,935,593,947,{965.00
688,936,718,944,Peniing
330,944,358,950,Warn
440,942,482,950,05294
859,941,893,961,353
861,967,925,979,Paid Invoices
344,976,396,984,Lcvasnova
440,976,494,984,Ninyjx
549,981,609,993,"4141,379.00"
684,982,718,988,Dane
332,990,358,996,Tan 
440,988,480,994,OalLe
1057,1011,1155,1025,Buy Pro Account
1169,1011,1215,1025,Explore
440,1022,494,1030,1J0u* 2 2u
549,1025,599,1039,"+51,265.00"
680,1028,718,1034,Comcictn
1083,1025,1189,1037,Premium Fcatures
440,1034,482,1040,DLdad
329,1065,367,1077,PayPal
438,1063,495,1077,4404473072
859,1055,909,1075,"2,034"
549,1071,593,1083,~965.00
688,1074,718,1080,PenJinu
440,1080,482,1086,059e
861,1081,945,1093,Recieved Invoices
1099,1075,1187,1087,PURCHASE Now
903,735,925,749,Mon
331,900,358,904,Heant
1098,923,1154,928,DONT
1089,958,1163,960,ForGET
331,1017,351,1030,Bike
