xmin,ymin,xmax,ymax,txt
673,75,807,95,Barbara Newman
1375,87,1473,107,PAY INVOICE
704,100,875,119,Century; Guangzhou; China
1109,255,1177,273,PO DATE
1325,255,1403,275,DELIVERY
613,267,715,287,INVOICE FOR
613,285,769,305,PURCHASE ORDER #
1106,290,1226,316,05/24/2019
1324,290,1444,316,06/13/2019
610,434,934,506,SU578000
1107,459,1187,479,SHIPPING
1240,455,1287,482,DHL
265,525,415,545,DOWNLOAD AS PDF
187,629,273,647,COMPANY:
667,631,699,643,ITEM
1141,629,1201,643,ARTIPTRN
1261,629,1287,643,OTY
1381,629,1419,643,PRICE
187,665,335,683,BACKBONE PLM; INC
666,682,902,706,SATIN BONDED JERSEY
925,689,971,703,C00062
189,711,279,727,Andrew Klein
1346,708,1418,734,S99.20
666,721,811,741,"Navy (XS; S, M, L, XL)"
665,743,827,763,Grey Heather (XS; S; M)
189,753,375,771,1023 Walnut street; ste 100
188,773,319,793,Boulder; Co. 80302
189,817,373,835,orders@backboneplm com
666,816,862,842,FLYWEIGHT NYLON
885,823,929,837,S00081
1346,828,1418,854,S20.00
667,851,771,869,Olive (XS; S; M)
666,922,938,946,LT COATED COTTON TWILL
963,929,993,941,7052
187,937,259,957,VENDOR:
1358,932,1416,960,S8.97
669,955,771,975,"Olive (XS, S; M)"
189,975,277,993,New Century
189,997,309,1013,Barbara Newman
189,1067,253,1083,BILL TO:
1202,1070,1288,1094,Subtotal
1334,1068,1418,1094,S128.17
189,1102,277,1121,New Century
1202,1106,1288,1132,Tax 13%
1358,1104,1418,1132,S16.6
189,1147,309,1163,Barbara Newman
191,1189,267,1200,Chann Iiane
297,1191,333,1200,ooha
672,98,706,118,New
