xmin,ymin,xmax,ymax,txt
247,79,313,99,My Card
1085,121,1209,135,Wed 25 May 2022 / 13:56
195,201,285,215,Current Balance
531,201,621,215,Current Balance
867,201,957,215,Current Balance
192,226,280,256,$76000
529,224,616,256,$76000
866,228,950,254,$76000
1203,225,1279,265,Add New Card
195,273,302,287,1234 5678 9012 3456
531,273,641,287,1234 5678 9012 3456
871,273,977,287,1234 5678 9012 3456
344,273,374,286,12/23
680,273,710,286,12/23
1013,273,1049,286,12/23
327,343,399,359,ADD MONEY
663,343,735,359,ADD MONEY
999,343,1071,359,ADD MONEY
247,469,321,485,Statistics
847,469,911,489,Monthly
1051,481,1209,501,Monthly Overview
1241,489,1307,507,60 / 100
1048,510,1111,529,January
536,528,578,534,This Month
151,539,191,553,260M
534,538,664,564,"220,342,123"
535,569,567,583,Sept
151,609,191,623,220M
151,679,189,693,180M
149,747,189,763,140M
1177,699,1343,776,46%
191,771,213,785,Jan
241,771,265,785,Feb
293,771,319,785,Mar
345,771,369,785,Apr
397,771,421,785,May
447,771,469,785,Jun
497,771,519,785,Jul
551,771,577,785,Aug
603,771,627,785,Sep
655,771,679,785,Oct
705,771,731,785,Nov
757,771,783,785,Dec
807,771,829,785,Jan
857,771,879,785,Feb
905,771,931,785,Mar
235,844,352,869,Recent Activity
548,855,648,869,6 Sep 20 - 13 Sep 20
910,854,1008,878,Send Money
222,916,275,935,History
314,916,381,935,Upcoming
1145,921,1249,937,Send Money To
903,939,941,953,Debit
1031,939,1095,955,"$10,680"
253,969,369,985,Bank of America
461,981,537,995,Office supplies
654,977,727,993,"-$10,100.00"
251,989,371,1005,10 Sep. 2020 at 3:30 PM
881,1010,993,1028,Enter the amount
253,1020,371,1040,Amazon Support
461,1033,505,1047,Supplies
654,1029,727,1045,"-$10,100.00"
251,1043,371,1057,10 Sep. 2020 at 3:30 PM
858,1044,978,1074,$ 800.00
1199,1060,1283,1079,Send Money
255,1071,353,1089,Roland GmbH
463,1087,517,1101,Marketing
647,1083,727,1099,"+$50,400.00"
253,1093,373,1109,10 Sep. 2020 at 3:30 PM
