xmin,ymin,xmax,ymax,txt
1195,29,1271,43,John Barkley
1240,42,1266,50,Activc
881,181,929,193,AlI time
1094,175,1171,191,Estimate prafit
1271,177,1307,191,50 k
173,183,309,221,"41,236 €"
953,209,985,221,$454
721,213,783,231,44500€
174,226,228,234,Petomarce
186,242,232,266,"4,1%/"
953,261,987,275,6 30 k
277,307,309,319,now
1159,277,1251,321,52%
953,315,985,329,515 k
1171,321,1243,337,
173,373,251,387,Perfomance 7019
953,369,983,383,Sok
465,397,491,409,2018
553,397,581,411,2018
645,397,673,409,2018
738,398,764,406,TO
827,399,855,411,2018
915,399,943,411,2018
173,419,251,431,Peromance 7018
1095,421,1297,435,u nn dyna ncd[!cnantun
1095,435,1141,447,U^[
1153,435,1277,447,D-cnitia|[t- - i[n
551,443,583,455,FUND
681,443,723,457,FUND C
1095,447,1241,461,
622,536,689,549,Personal data
1259,533,1309,547,All time
181,565,354,608,Funds rating
185,631,241,647,Rating A
481,631,511,643,69%6
684,626,778,674,72%
921,629,1017,673,56%
1158,626,1254,674,33%
695,673,759,687,
929,673,1013,687,
1169,673,1245,687,
185,705,241,721,Rating C
481,707,511,721,8996
251,304,275,320,Buy
