xmin,ymin,xmax,ymax,txt
383,61,531,81,Tap here to search
140,70,217,90,Dashboard
141,137,207,155,Analytics
349,154,454,183,Overview
1241,165,1395,183,Steve Schwarzman
1279,191,1359,205,Businessman
140,200,209,220,Schedule
435,206,515,225,Main Salary
702,206,763,226,Expense
971,207,1079,223,Passive Income
431,239,545,279,S2400
697,237,803,279,S1300
967,239,1073,279,$2100
140,264,193,285,History
435,295,479,311,+0.18%
709,295,747,311,0.27%
971,295,1019,311,+2.88%
1231,299,1261,313,Send
1299,299,1343,313,Receive
1383,299,1411,313,Split
101,327,117,351,8
143,331,191,347,Profile
350,382,458,406,Your Card
987,389,1087,405,Add New Card
1214,376,1306,402,Split Bill
1300,439,1407,459,Hillary Clinton
1301,465,1395,481,Digital Marketer
1299,519,1409,537,Melinda Gates
141,537,201,555,Settings
374,526,558,550,5869 .1473 . 2655
764,526,944,550,7245 . 2766. 1229
1301,544,1393,563,Bank Secretary
140,600,193,620,Logout
377,606,529,626,Steve Schwarzman
767,605,921,626,Steve Schwarzman
1031,603,1075,623,VISA
1299,601,1403,619,James Furion
1301,626,1405,644,Graphic Designer
352,711,558,738,Recent Transaction
1215,711,1333,741,Export File
74,730,196,756,Upgrade to
72,758,156,782,Version
397,767,471,781,Janet Yellen
523,767,573,783,Split Bill
695,769,755,785,"5145,000"
879,769,931,785,Expense
1253,781,1377,801,Download as CSV
101,820,195,840,Try Free Trial
396,818,459,835,Larry Fink
523,819,607,835,Gathering Fee
695,821,757,835,"5299,000"
878,820,931,838,Expense
1249,855,1383,873,View in Web Editor
397,871,477,885,Charles Koch
521,869,603,887,Month Salary
691,873,759,887,"45299,000"
877,873,925,887,Income
197,728,235,753,Pro
