xmin,ymin,xmax,ymax,txt
270,34,444,62,Cards list
303,127,379,141,Search card
75,133,131,149,Maks
87,155,157,169,Active Now
729,169,1049,205,Ledoteam platform
287,213,341,227,#+++
346,208,434,234,3067
731,206,973,225,Choose full financial plan for your growth
73,245,123,259,Home
783,261,893,275,Learnmore
75,301,157,315,Accounts
325,293,373,313,12/25
75,355,129,369,Wallet
292,352,434,380,"$856,86"
735,349,827,369,stocks
295,387,427,401,"+45,79 VS Iast week"
73,409,161,425,Payments
755,405,827,421,Evernote
1254,412,1319,433,Manage
755,425,785,439,MNS
433,451,517,465,Add card
75,465,121,479,Team
72,517,147,535,Settings
1187,509,1277,529,"$770,8"
1215,535,1255,547,"0,269"
287,545,431,563,Subscriptions
339,651,462,676,Mailchimp
553,657,645,675,$98268
713,651,789,671,Chart
1032,660,1064,668,Todav
1107,657,1139,671,Week
1181,659,1217,671,Month
1261,657,1285,669,Year
359,729,447,747,Dropbox
531,729,619,745,"$1,93268"
1073,733,1137,747,See stats
1179,733,1225,747,482%
359,811,457,827,Evernote
555,811,619,827,$ 4666
81,851,153,867,Support
359,893,423,909,Asana
557,893,603,909,"112,6e"
733,901,757,915,Jan
839,899,865,915,Fed
945,901,975,915,Mar
1055,901,1079,915,4pr
1157,901,1189,917,May
79,906,147,923,Log out
293,290,325,316,Exp
693,346,729,372,My
