xmin,ymin,xmax,ymax,txt
66,50,164,78,Logoipsm
243,47,413,83,Dashboard
549,59,593,75,Search
1195,55,1329,83,Courtny Henry
62,132,130,160,Overview
321,181,371,197,Bitcoin
605,181,655,197,Litcoin
889,179,959,197,Ethereum
1175,181,1225,197,Solana
62,193,105,211,Chart
321,205,349,221,BTC
603,205,629,221,ITC
889,205,917,221,ETH
1175,205,1203,221,SOL
62,253,145,269,Transaction
254,240,338,266,"$52,291"
537,239,610,269,"$8,291"
822,240,906,266,"$28,291"
1110,240,1190,268,"$14,291"
259,287,315,303,+0.25%
543,287,599,303,+0.25%
827,287,883,303,+0.25%
1111,287,1169,303,+0.25%
62,309,109,325,Wallet
62,365,105,381,News
1017,383,1111,403,Credit Card
274,390,334,414,Chart
887,401,915,413,USD
59,419,121,437,Mail Box
275,449,347,465,Bitcoin/BTC
1018,446,1228,470,3475 7381 3759 4512
273,475,369,495,"$35,352.02"
1019,503,1159,519,DARRELL SREWARD
1286,498,1336,522,VISA
275,531,317,545,50.00
275,579,321,595,40.00
1024,602,1144,628,My Portfolio
275,627,317,643,30.00
1091,659,1161,675,Ethereum
1279,657,1333,673,-13.40%
275,675,317,693,20.00
1091,687,1147,703,$325.03
1249,687,1329,703,0.12543 ETH
275,725,315,741,10.00
1091,727,1143,743,Bitcoin
1285,725,1333,739,-6.00%
329,755,367,771,19:00
441,755,479,771,19:10
553,755,593,771,19:20
669,755,709,771,19:30
783,755,823,771,19:40
899,755,939,771,19:50
1091,755,1145,771,$325.03
1249,753,1331,769,0.12543 BTC
1091,793,1141,809,Litcoin
1277,793,1333,809,+14.25%
1091,821,1147,837,$325.03
1255,821,1331,837,0.12543 ITC
262,858,378,882,Live Market
887,863,945,877,View More
1091,861,1141,877,Solana
1284,859,1333,873,-2.00%
1091,889,1145,903,$325.03
1251,887,1329,903,0.12543 SOL
265,907,295,921,Coin
434,905,483,923,Change
565,907,637,921,Market Cap
705,907,777,921,24h Volume
825,907,859,921,Price
60,927,119,947,Settings
1091,929,1185,945,Binance Coin
1275,927,1333,941,+12.40%
305,949,355,965,Bitcoin
435,949,497,965,+12.00%
563,945,631,965,"$3,560M"
703,945,769,965,"$65,20M"
823,945,909,965,"$48,032.32"
1091,957,1145,971,$325.03
1249,955,1331,969,0.12543 BNB
60,978,112,1007,Logout
