xmin,ymin,xmax,ymax,txt
363,36,468,69,7  6
1373,36,1503,64,winden.Co
1055,166,1182,196,Overview
1275,166,1449,196,Transactions
1539,168,1624,199,Cards
1712,166,1825,196,Invoices
2607,165,2644,202,=
2687,169,2707,195,0
223,339,469,379,Winden Balance
548,339,856,380,"+s328.00 Today, Sep 9"
218,400,696,517,"S36,957 .90"
1895,457,1919,483,+
1944,453,2100,492,Add Money
2265,457,2289,481,7
2311,452,2484,492,Send Money
222,582,297,615,S40k
222,694,297,727,S30k
2010,690,2074,719,Sep 1
222,806,293,839,S15k
221,917,265,953,S0
304,981,401,1021,Aug 10
1456,981,1555,1019,Aug 25
2617,983,2695,1014,Sep 9
272,1130,525,1174,Recent Activity
1130,1132,1363,1170,See All Payments
1518,1130,1625,1170,Cards
1890,1135,2006,1172,Physical
2114,1132,2252,1170,Virtual (6)
2431,1136,2614,1167,See AII Cards
398,1229,484,1266,Stripe
1233,1229,1365,1266,"$1,223.18"
299,1245,343,1295,S
398,1278,507,1316,Deposit
1166,1274,1365,1317,Today 7:18 AM
1741,1335,1828,1366,Active
399,1375,544,1406,Cash Back
1253,1371,1364,1410,"+81,700"
399,1423,519,1453,Business
1167,1419,1363,1460,Today 7:18 AM
1712,1432,1904,1465,Jason Green
398,1518,500,1555,Spotify
1272,1519,1362,1548,-S4.99
2053,1509,2142,1546,8599
399,1566,589,1599,Entertainment
1167,1563,1365,1603,Today 7:18 AM
1714,1591,1778,1624,EXP
1805,1590,1918,1627,02 / 25
1960,1591,2034,1624,CVC
2306,1595,2419,1646,VISA
399,1659,541,1699,Mailchimp
1263,1662,1362,1693,-S10.10
399,1709,519,1740,Business
1167,1708,1365,1749,Today 7:18 AM
