xmin,ymin,xmax,ymax,txt
107,49,309,81,Welcome; Milanya
571,57,627,73,Search
265,115,345,129,TATA POWER
463,115,487,129,ITC
655,113,703,129,TECHM
127,121,185,135,Watchlist
273,133,317,149,212.50
463,133,499,147,7347
665,133,713,147,1012.35
267,155,331,167,+8.34(4.0931
465,155,529,167,+2.20/0.645|
657,155,725,167,-23.75/2.2951
981,169,1041,189,Nilanya
981,195,1045,211,(WAG448)
121,219,239,237,Total Investment
472,216,513,230,6 Moths
537,217,583,229,Overall ~
641,219,755,235,Sector Exposure
131,237,203,255,"84,600.21"
569,239,611,253,"100,000"
913,253,961,265,Invested
1028,254,1068,262,Hunrent
573,275,611,289,"80,000"
925,267,993,287,"84,600.21"
1037,271,1107,287,"94,629.27"
642,284,668,308,2
50,294,74,342,D
573,311,611,325,"60,000"
913,335,985,347,Total Returns
1025,335,1089,349,Percentage
573,347,611,361,"40,000"
913,355,995,371,"+10,029.06"
1027,355,1085,371,+11.85%
48,350,80,390,Isl
645,373,667,391,m
573,383,611,397,"20,000"
50,414,78,446,0
125,433,161,447,Aug 22
193,433,231,445,Sep 22
263,433,299,445,Oct 22
333,433,371,445,Nov 22
403,433,441,445,Dec 22
473,433,509,445,Jan 23
541,433,577,445,Feb 23
645,415,667,435,Q]
123,495,241,511,Portfolio Returns
545,497,595,509,View all >
635,495,695,511,Dividend
806,500,844,508,mlonlms
969,487,1053,507,Total Cash
967,509,1057,529,"<84,600.21"
121,527,165,541,Stocks
185,527,237,541,Quantity
251,527,335,541,Total Invested
350,526,433,543,Average Price
451,527,531,541,Current Value
569,527,591,541,PIL
633,537,661,551,2250
123,557,147,571,ITC
269,557,319,571,1033.40
371,557,415,571,258.35
471,557,513,571,361.40
555,557,603,571,+412.20
633,567,661,579,2200
123,587,161,601,TITAN
269,587,319,601,2478.33
369,587,419,601,2478.33
467,587,517,601,2345.90
557,587,603,601,-132.43
633,595,661,607,2150
123,617,153,631,TMB
269,617,317,631,"2410,60"
373,617,415,631,282.12
471,617,513,631,470.40
567,617,605,631,58.60
633,623,661,635,7100
949,615,993,631,Equity
53,645,75,659,OFF
123,647,169,661,TECHM
269,647,319,661,3969.50
373,647,415,661,"992,38"
467,647,515,661,1024.25
557,647,605,661,+127.50
633,651,655,663,750
949,643,1027,661,Commodity
947,669,989,685,Bondi
121,677,167,691,NATCO
263,677,319,691,16612.95
373,677,415,691,593.32
471,677,515,691,529.40
549,677,603,691,"-1,789.75"
121,691,169,705,PHARM
661,693,683,707,Sop
695,693,717,707,Oct
765,695,787,707,Dcc
833,693,855,705,Feb
