xmin,ymin,xmax,ymax,txt
19,37,69,55,MENU
373,47,425,63,Search
809,51,893,69,Accounting
935,51,991,67,Activity
1034,48,1083,68,Teams
1215,49,1319,67,Eric Goodman
21,75,91,91,Overview
21,111,63,127,Sales
21,147,97,165,Your Staff
381,147,453,163,S1500.00
761,147,835,163,52500.00
1139,145,1215,163,53500.00
381,175,487,189,Visa Card Balance
761,175,883,189,Master Card Balance
1141,175,1261,191,Paypal Card Balance
21,185,177,203,Analytics & Targeting
21,221,109,237,What's New
19,340,118,358,DASHBOARD
21,381,97,399,Messages
21,417,115,433,Connections
385,437,443,451,Jan   Feb
459,437,485,451,Mar
499,437,523,451,Apr
539,439,563,451,Jun
579,437,601,451,Jul
655,437,679,451,Sep
763,437,823,451,Jan   Feb
839,437,865,451,Mar
879,437,903,451,Apr
917,439,943,451,Jun
959,437,981,451,Jul
1035,437,1059,451,Sep
1143,437,1203,451,Jan   Feb
1219,437,1245,451,Mar
1259,437,1283,451,Apr
1297,437,1323,451,Jun
1339,437,1361,451,Jul
21,453,111,471,Integrations
21,487,147,507,Account Settings
21,524,117,544,App Settings
377,527,445,541,Accounts
755,525,835,543,Spendings
1134,524,1207,544,Expences
883,581,949,597,June 2018
889,601,945,617,S900.00
1229,613,1259,629,30%
494,624,570,656,150K
489,657,575,673,Total Balance
1353,681,1383,697,70%
1199,701,1229,715,20%
461,727,605,743,Visa Card **** 4090
1247,745,1271,761,596
21,879,221,898,Design with love by @UINugget
617,435,643,453,Aug
997,435,1023,453,Aug
1377,435,1403,453,Aug
